web-scraper-order,web-scraper-start-url,name,typeImage-src,categoryImage-src,basePower,battleEffect,secondaryEffect,effectRate,speedPriority,criticalHitRate,target,makesPhysicalContact,accuracy,zMove,zMovePower,zMoveUpgradeEffect,zMoveUgradeEffectDetailed
"1597854925-1299","https://www.serebii.net//attackdex-sm/safeguard.shtml","Safeguard","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user creates a protective field that prevents status conditions for five turns.","Prevents all status conditions for five turns","-- %","0","None","Ally","No","0","null","null","Speed ↥","Boosts Speed by 1 stage"
"1597855787-1726","https://www.serebii.net//attackdex-sm/clangingscales.shtml","Clanging Scales","/pokedex-bw/type/dragon.gif","/pokedex-bw/type/special.png","110","The user rubs the scales on its entire body and makes a huge noise to attack the opposing Pokémon. The user's Defense stat goes down after the attack.","Lowers user's Defense one stage.","100 %","0","4.17%","All Adjacent Foes","No","100","Devastating Drake","185","Devastating Drake","null"
"1597854992-1331","https://www.serebii.net//attackdex-sm/razorshell.shtml","Razor Shell","/pokedex-bw/type/water.gif","/pokedex-bw/type/physical.png","75","The user cuts its target with sharp shells. This may also lower the target's Defense stat.","May lower opponent's Defense one stage.","50 %","0","4.17%","Selected Target","Yes","95","Hydro Vortex","140","Hydro Vortex","null"
"1597854561-1119","https://www.serebii.net//attackdex-sm/watersport.shtml","Water Sport","/pokedex-bw/type/water.gif","/pokedex-bw/type/other.png","0","The user soaks the battlefield with water. This weakens Fire-type moves for five turns.","Lowers the power of Fire-type moves used on this Pokémon","-- %","0","None","Field","No","0","null","null","Special Defense ↥","Boosts Special Defense by 1 stage"
"1597855486-1577","https://www.serebii.net//attackdex-sm/gearup.shtml","Gear Up","/pokedex-bw/type/steel.gif","/pokedex-bw/type/other.png","0","The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.","Raises Attack and Special Attack of ally Pokémon with the Plus or Minus ability by 1 stage","-- %","0","None","Team","No","0","null","null","Special Attack ↥","Boosts Special Attack by 1 stage"
"1597855793-1729","https://www.serebii.net//attackdex-sm/chipaway.shtml","Chip Away","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","70","Looking for an opening, the user strikes consistently. The target's stat changes don't affect this attack's damage.","Ignores stat changes","-- %","0","4.17%","Selected Target","Yes","100","Breakneck Blitz","140","Breakneck Blitz","null"
"1597854815-1244","https://www.serebii.net//attackdex-sm/smog.shtml","Smog","/pokedex-bw/type/poison.gif","/pokedex-bw/type/special.png","30","The target is attacked with a discharge of filthy gases. This may also poison the target.","May induce poison.","40 %","0","4.17%","Selected Target","No","70","Acid Downpour","100","Acid Downpour","null"
"1597855424-1546","https://www.serebii.net//attackdex-sm/headbutt.shtml","Headbutt","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","70","The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch.","May cause opponent to flinch.","30 %","0","4.17%","Selected Target","Yes","100","Breakneck Blitz","140","Breakneck Blitz","null"
"1597854985-1327","https://www.serebii.net//attackdex-sm/reflect.shtml","Reflect","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/other.png","0","A wondrous wall of light is put up to reduce damage from physical attacks for five turns.","Halves Attack damage inflicted on the user's side of the field","-- %","0","None","Ally","No","0","null","null","Defense ↥","Boosts Defense by 1 stage"
"1597855274-1471","https://www.serebii.net//attackdex-sm/lightthatburnsthesky.shtml","Light That Burns the Sky","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/special.png","200","This attack inflicts Attack or Sp. Atk damage— whichever stat is higher for the user, Necrozma.  This move ignores the target's Ability.","Damage inflicted depends on user's Attack or Special Attack. Highest stat used to determine if move is Physical or Special. Ignores abilities","-- %","0","4.17%","Selected Target","No","0","null","null","null","null"
"1597855831-1748","https://www.serebii.net//attackdex-sm/bubble.shtml","Bubble","/pokedex-bw/type/water.gif","/pokedex-bw/type/special.png","40","A spray of countless bubbles is jetted at the opposing Pokémon. This may also lower their Speed stat.","May lower opponent's Speed one stage.","10 %","0","4.17%","All Adjacent Foes","No","100","Hydro Vortex","100","Hydro Vortex","null"
"1597854801-1238","https://www.serebii.net//attackdex-sm/soft-boiled.shtml","Soft-Boiled","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user restores its own HP by up to half of its max HP.","User recovers half the maximum HP.","-- %","0","None","Self","No","0","null","null","Reset Stats","Resets all lowered stat modifications"
"1597855058-1363","https://www.serebii.net//attackdex-sm/powertrick.shtml","Power Trick","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/other.png","0","The user employs its psychic power to switch its Attack stat with its Defense stat.","Switches user's Attack & Defense stat.","-- %","0","None","Self","No","0","null","null","Attack ↥","Boosts Attack by 1 stage"
"1597855074-1371","https://www.serebii.net//attackdex-sm/poisontail.shtml","Poison Tail","/pokedex-bw/type/poison.gif","/pokedex-bw/type/physical.png","50","The user hits the target with its tail. This may also poison the target. Critical hits land more easily.","Has high critical hit ratio. May induce poison.","10 %","0","12.5%","Selected Target","Yes","100","Acid Downpour","100","Acid Downpour","null"
"1597854940-1306","https://www.serebii.net//attackdex-sm/rollingkick.shtml","Rolling Kick","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/physical.png","60","The user lashes out with a quick, spinning kick. This may also make the target flinch.","May cause opponent to flinch.","30 %","0","4.17%","Selected Target","Yes","85","All-Out Pummeling","120","All-Out Pummeling","null"
"1597854787-1231","https://www.serebii.net//attackdex-sm/sparklingaria.shtml","Sparkling Aria","/pokedex-bw/type/water.gif","/pokedex-bw/type/special.png","90","The user bursts into song, emitting many bubbles. Any Pokémon suffering from a burn will be healed by the touch of these bubbles.","Heals the target from Burn","-- %","0","4.17%","All Adjacent Pokémon","No","100","Hydro Vortex","175","Hydro Vortex","null"
"1597854911-1292","https://www.serebii.net//attackdex-sm/scaryface.shtml","Scary Face","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user frightens the target with a scary face to harshly lower its Speed stat.","Lowers opponent's Speed two stages.","-- %","0","None","Selected Target","No","100","null","null","Speed ↥","Boosts Speed by 1 stage"
"1597855378-1523","https://www.serebii.net//attackdex-sm/hurricane.shtml","Hurricane","/pokedex-bw/type/flying.gif","/pokedex-bw/type/special.png","110","The user attacks by wrapping its opponent in a fierce wind that flies up into the sky. This may also confuse the target.","May induce CONFUSION. Damages Pokémon using Fly, Bounce or Sky Drop","30 %","0","4.17%","Selected Target","No","70","Supersonic Skystrike","185","Supersonic Skystrike","null"
"1597855434-1551","https://www.serebii.net//attackdex-sm/happyhour.shtml","Happy Hour","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","Using Happy Hour doubles the amount of prize money received after battle.","Doubles Prize Money in trainer battles","-- %","0","None","Ally","No","0","null","null","Stats ↥","Boosts all stats by 1 stage"
"1597855868-1766","https://www.serebii.net//attackdex-sm/blazekick.shtml","Blaze Kick","/pokedex-bw/type/fire.gif","/pokedex-bw/type/physical.png","85","The user launches a kick that lands a critical hit more easily. This may also leave the target with a burn.","Has high critical hit ratio. May induce burn.","10 %","0","12.5%","Selected Target","Yes","90","Inferno Overdrive","160","Inferno Overdrive","null"
"1597855773-1719","https://www.serebii.net//attackdex-sm/confuseray.shtml","Confuse Ray","/pokedex-bw/type/ghost.gif","/pokedex-bw/type/other.png","0","The target is exposed to a sinister ray that triggers confusion.","Induces Confusion","-- %","0","None","Selected Target","No","100","null","null","Special Attack ↥","Boosts Special Attack by 1 stage"
"1597854705-1190","https://www.serebii.net//attackdex-sm/superpower.shtml","Superpower","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/physical.png","120","The user attacks the target with great power. However, this also lowers the user's Attack and Defense stats.","Lowers user's Attack and Defense one stage.","100 %","0","4.17%","Selected Target","Yes","100","All-Out Pummeling","190","All-Out Pummeling","null"
"1597855112-1390","https://www.serebii.net//attackdex-sm/payday.shtml","Pay Day","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","40","Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.","User gains money after battle in the main game.","-- %","0","4.17%","Selected Target","No","100","Breakneck Blitz","100","Breakneck Blitz","null"
"1597854865-1269","https://www.serebii.net//attackdex-sm/shockwave.shtml","Shock Wave","/pokedex-bw/type/electric.gif","/pokedex-bw/type/special.png","60","The user strikes the target with a quick jolt of electricity. This attack never misses.","Cannot miss.","-- %","0","4.17%","Selected Target","No","0","Gigavolt Havoc","120","Gigavolt Havoc","null"
"1597854621-1149","https://www.serebii.net//attackdex-sm/toxicspikes.shtml","Toxic Spikes","/pokedex-bw/type/poison.gif","/pokedex-bw/type/other.png","0","The user lays a trap of poison spikes at the feet of the opposing team. The spikes will poison opposing Pokémon that switch into battle.","Sets spikes that POISON the opponent upon switching.","-- %","0","None","Enemy Side","No","0","null","null","Defense ↥","Boosts Defense by 1 stage"
"1597854727-1201","https://www.serebii.net//attackdex-sm/stringshot.shtml","String Shot","/pokedex-bw/type/bug.gif","/pokedex-bw/type/other.png","0","The opposing Pokémon are bound with silk blown from the user's mouth that harshly lowers the Speed stat.","Lowers opponent's Speed two stages.","-- %","0","None","All Adjacent Foes","No","95","null","null","Speed ↥","Boosts Speed by 1 stage"
"1597855320-1494","https://www.serebii.net//attackdex-sm/ironhead.shtml","Iron Head","/pokedex-bw/type/steel.gif","/pokedex-bw/type/physical.png","80","The user slams the target with its steel-hard head. This may also make the target flinch.","May cause opponent to flinch.","30 %","0","4.17%","Selected Target","Yes","100","Corkscrew Crash","160","Corkscrew Crash","null"
"1597855262-1465","https://www.serebii.net//attackdex-sm/luckychant.shtml","Lucky Chant","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user chants an incantation toward the sky, preventing opposing Pokémon from landing critical hits for five turns.","Prevents target from afflicting Critical Hits for 5 turns","-- %","0","None","Ally","No","0","null","null","Evasiveness ↥","Boosts Evasion by 1 stage"
"1597855515-1591","https://www.serebii.net//attackdex-sm/freezeshock.shtml","Freeze Shock","/pokedex-bw/type/ice.gif","/pokedex-bw/type/physical.png","140","On the second turn, the user hits the target with electrically charged ice. This may also leave the target with paralysis.","May induce paralysis.","30 %","0","4.17%","Selected Target","No","90","Subzero Slammer","200","Subzero Slammer","null"
"1597855840-1752","https://www.serebii.net//attackdex-sm/breakneckblitz.shtml","Breakneck Blitz","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","1","The user builds up its momentum using its Z-Power and crashes into the target at full speed. The power varies, depending on the original move.","No effect.","-- %","0","4.17%","Selected Target","No","0","null","null","Secondary Effect:","null"
"1597855941-1802","https://www.serebii.net//attackdex-sm/allyswitch.shtml","Ally Switch","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/other.png","0","The user teleports using a strange power and switches places with one of its allies.","Switches place with other Pokémon on field","-- %","2","None","Self","No","0","null","null","Speed ↥↥","Boosts Speed by 2 stages"
"1597854853-1263","https://www.serebii.net//attackdex-sm/sinisterarrowraid.shtml","Sinister Arrow Raid","/pokedex-bw/type/ghost.gif","/pokedex-bw/type/physical.png","180","The user, Decidueye, creates countless arrows using its Z-Power and shoots the target with full force.","No effect.","-- %","0","4.17%","Selected Target","No","0","null","null","Secondary Effect:","null"
"1597854719-1197","https://www.serebii.net//attackdex-sm/submission.shtml","Submission","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/physical.png","80","The user grabs the target and recklessly dives for the ground. This also damages the user a little.","User takes recoil damage equal to 25% of the damage inflicted.","-- %","0","4.17%","Selected Target","Yes","80","All-Out Pummeling","160","All-Out Pummeling","null"
"1597855338-1503","https://www.serebii.net//attackdex-sm/imprison.shtml","Imprison","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/other.png","0","If opposing Pokémon know any move also known by the user, they are prevented from using it.","Opponent cannot use any move that user knows.","-- %","0","None","Self","No","0","null","null","Special Defense ↥↥","Boosts Special Defense by 2 stages"
"1597855742-1704","https://www.serebii.net//attackdex-sm/craftyshield.shtml","Crafty Shield","/pokedex-bw/type/fairy.gif","/pokedex-bw/type/other.png","0","The user protects itself and its allies from status moves with a mysterious power. This does not stop moves that do damage.","Prevents all Pokémon on the field from using Status moves","-- %","3","None","Ally","No","0","null","null","Special Defense ↥","Boosts Special Defense by 1 stage"
"1597855226-1447","https://www.serebii.net//attackdex-sm/megadrain.shtml","Mega Drain","/pokedex-bw/type/grass.gif","/pokedex-bw/type/special.png","40 (SMUSUM)
75 (Let's Go)","A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.","User recovers half the damage inflicted.","-- %","0","4.17%","Selected Target","No","100","Bloom Doom","120","Bloom Doom","null"
"1597855644-1655","https://www.serebii.net//attackdex-sm/earthpower.shtml","Earth Power","/pokedex-bw/type/ground.gif","/pokedex-bw/type/special.png","90","The user makes the ground under the target erupt with power. This may also lower the target's  Sp. Def stat.","May lower opponent's Special Defense one stage.","10 %","0","4.17%","Selected Target","No","100","Tectonic Rage","175","Tectonic Rage","null"
"1597855328-1498","https://www.serebii.net//attackdex-sm/ingrain.shtml","Ingrain","/pokedex-bw/type/grass.gif","/pokedex-bw/type/other.png","0","The user lays roots that restore its HP on every turn. Because it's rooted, it can't switch out.","Recovers user's Hit Points by 1/16th each turn. Prevents user from Switching out.","-- %","0","None","Self","No","0","null","null","Special Defense ↥","Boosts Special Defense by 1 stage"
"1597855559-1613","https://www.serebii.net//attackdex-sm/flameburst.shtml","Flame Burst","/pokedex-bw/type/fire.gif","/pokedex-bw/type/special.png","70","The user attacks the target with a bursting flame. The bursting flame damages Pokémon next to the target as well.","Damages Pokémon to the side of the target equal to 1/16th of their max Hit Points","-- %","0","4.17%","Selected Target","No","100","Inferno Overdrive","140","Inferno Overdrive","null"
"1597855254-1461","https://www.serebii.net//attackdex-sm/machpunch.shtml","Mach Punch","/pokedex-bw/type/fighting.gif","/pokedex-bw/type/physical.png","40","The user throws a punch at blinding speed. This move always goes first.","Has increased Speed Priority","-- %","1","4.17%","Selected Target","Yes","100","All-Out Pummeling","100","All-Out Pummeling","null"
"1597855402-1535","https://www.serebii.net//attackdex-sm/helpinghand.shtml","Helping Hand","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user assists an ally by boosting the power of that ally's attack.","Increases power of ally Pokémon's Attacks by 50%","-- %","5","None","Adjacent Ally","No","0","null","null","Reset Stats","Resets all lowered stat modifications"
"1597855498-1583","https://www.serebii.net//attackdex-sm/furyswipes.shtml","Fury Swipes","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","18","The target is raked with sharp claws or scythes quickly two to five times in a row.","Attacks 2-5 times in a row. 
37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits","-- %","0","4.17%","Selected Target","Yes","80","Breakneck Blitz","100","Breakneck Blitz","null"
"1597854692-1184","https://www.serebii.net//attackdex-sm/sweetkiss.shtml","Sweet Kiss","/pokedex-bw/type/fairy.gif","/pokedex-bw/type/other.png","0","The user kisses the target with a sweet, angelic cuteness that causes confusion.","Induces Confusion","-- %","0","None","Selected Target","No","75","null","null","Special Attack ↥","Boosts Special Attack by 1 stage"
"1597854682-1179","https://www.serebii.net//attackdex-sm/synchronoise.shtml","Synchronoise","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/special.png","120","Using an odd shock wave, the user inflicts damage on any Pokémon of the same type in the area around it.","Only damages Pokémon of the same type as the user.","-- %","0","4.17%","All Adjacent Pokémon","No","100","Shattered Psyche","190","Shattered Psyche","null"
"1597855330-1499","https://www.serebii.net//attackdex-sm/infestation.shtml","Infestation","/pokedex-bw/type/bug.gif","/pokedex-bw/type/special.png","20","The target is infested and attacked for four to five turns. The target can't flee during this time.","Traps opponent.","100 %","0","4.17%","Selected Target","Yes","100","Savage Spin-Out","100","Savage Spin-Out","null"
"1597855819-1742","https://www.serebii.net//attackdex-sm/bulletpunch.shtml","Bullet Punch","/pokedex-bw/type/steel.gif","/pokedex-bw/type/physical.png","40","The user strikes the target with tough punches as fast as bullets. This move always goes first.","Has increased Speed Priority","-- %","1","4.17%","Selected Target","Yes","100","Corkscrew Crash","100","Corkscrew Crash","null"
"1597855933-1798","https://www.serebii.net//attackdex-sm/aquajet.shtml","Aqua Jet","/pokedex-bw/type/water.gif","/pokedex-bw/type/physical.png","40","The user lunges at the target at a speed that makes it almost invisible. This move always goes first.","Has increased Speed Priority","-- %","1","4.17%","Selected Target","Yes","100","Hydro Vortex","100","Hydro Vortex","null"
"1597854863-1268","https://www.serebii.net//attackdex-sm/shoreup.shtml","Shore Up","/pokedex-bw/type/ground.gif","/pokedex-bw/type/other.png","0","The user regains up to half of its max HP. It restores more HP in a sandstorm.","Heals up to 50% of maximum Hit Points. Heals 66.6% of maximum Hit Points in a Sandstorm","-- %","0","None","Self","No","0","null","null","Reset Stats","Resets all lowered stat modifications"
"1597855180-1424","https://www.serebii.net//attackdex-sm/moonblast.shtml","Moonblast","/pokedex-bw/type/fairy.gif","/pokedex-bw/type/special.png","95","Borrowing the power of the moon, the user attacks the target. This may also lower the target's Sp. Atk stat.","May lower opponent's Special Attack one stage.","30 %","0","4.17%","Selected Target","No","100","Twinkle Tackle","175","Twinkle Tackle","null"
"1597855033-1351","https://www.serebii.net//attackdex-sm/psychicterrain.shtml","Psychic Terrain","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/other.png","0","This protects Pokémon on the ground from priority moves and powers up Psychic-type moves for five turns.","Activates Psychic Terrain","-- %","0","None","Field","No","0","null","null","Special Attack ↥","Boosts Special Attack by 1 stage"
"1597855116-1392","https://www.serebii.net//attackdex-sm/paraboliccharge.shtml","Parabolic Charge","/pokedex-bw/type/electric.gif","/pokedex-bw/type/special.png","65","The user attacks everything around it. The user's HP is restored by half the damage taken by those hit.","User recovers half the damage inflicted.","-- %","0","4.17%","All Adjacent Pokémon","No","100","Gigavolt Havoc","120","Gigavolt Havoc","null"
"1597855642-1654","https://www.serebii.net//attackdex-sm/earthquake.shtml","Earthquake","/pokedex-bw/type/ground.gif","/pokedex-bw/type/physical.png","100","The user sets off an earthquake that strikes every Pokémon around it.","Hits everyone on the field.","-- %","0","4.17%","All Adjacent Pokémon","No","100","Tectonic Rage","180","Tectonic Rage","null"
"1597855569-1618","https://www.serebii.net//attackdex-sm/firepunch.shtml","Fire Punch","/pokedex-bw/type/fire.gif","/pokedex-bw/type/physical.png","75","The target is punched with a fiery fist. This may also leave the target with a burn.","May induce burn.","10 %","0","4.17%","Selected Target","Yes","100","Inferno Overdrive","140","Inferno Overdrive","null"
"1597855102-1385","https://www.serebii.net//attackdex-sm/petaldance.shtml","Petal Dance","/pokedex-bw/type/grass.gif","/pokedex-bw/type/special.png","120","The user attacks the target by scattering petals for two to three turns. The user then becomes confused.","User uses the same Attack for 2-3 turns then becomes confused.","-- %","0","4.17%","Random Target","Yes","100","Bloom Doom","190","Bloom Doom","null"
"1597855757-1711","https://www.serebii.net//attackdex-sm/corkscrewcrash.shtml","Corkscrew Crash","/pokedex-bw/type/steel.gif","/pokedex-bw/type/physical.png","1","The user spins very fast and rams into the target with the full force of its Z-Power. The power varies, depending on the original move.","No effect.","-- %","0","4.17%","Selected Target","No","0","null","null","Secondary Effect:","null"
"1597855610-1638","https://www.serebii.net//attackdex-sm/explosion.shtml","Explosion","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","250","The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move.","User faints","-- %","0","4.17%","All Adjacent Pokémon","No","100","Breakneck Blitz","200","Breakneck Blitz","null"
"1597854628-1152","https://www.serebii.net//attackdex-sm/topsy-turvy.shtml","Topsy-Turvy","/pokedex-bw/type/dark.gif","/pokedex-bw/type/other.png","0","All stat changes affecting the target turn topsy-turvy and become the opposite of what they were.","Inverts all stat alterations on the target.","-- %","0","None","Selected Target","No","0","null","null","Attack ↥","Boosts Attack by 1 stage"
"1597855672-1669","https://www.serebii.net//attackdex-sm/dragonclaw.shtml","Dragon Claw","/pokedex-bw/type/dragon.gif","/pokedex-bw/type/physical.png","80","The user slashes the target with huge sharp claws.","No effect.","-- %","0","4.17%","Selected Target","Yes","100","Devastating Drake","160","Devastating Drake","null"
"1597855408-1538","https://www.serebii.net//attackdex-sm/heatcrash.shtml","Heat Crash","/pokedex-bw/type/fire.gif","/pokedex-bw/type/physical.png","1","The user slams its target with its flame-covered body. The more the user outweighs the target, the greater the move's power.","Increases damage based on the weight of the user and opponent","-- %","0","4.17%","Selected Target","Yes","100","Inferno Overdrive","160","Inferno Overdrive","null"
"1597855362-1515","https://www.serebii.net//attackdex-sm/hyperspacehole.shtml","Hyperspace Hole","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/special.png","80","Using a hyperspace hole, the user appears right next to the target and strikes. This also hits a target using a move such as Protect or Detect.","Hits through Protect","-- %","0","4.17%","Selected Target","No","0","Shattered Psyche","160","Shattered Psyche","null"
"1597855762-1714","https://www.serebii.net//attackdex-sm/conversion2.shtml","Conversion 2","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user changes its type to make itself resistant to the type of the attack the opponent used last.","User becomes a type resistant to opponent's last Attack.","-- %","0","None","Selected Target","No","0","null","null","Restores HP","Heals the Hit Points of this Pokémon"
"1597855507-1587","https://www.serebii.net//attackdex-sm/frostbreath.shtml","Frost Breath","/pokedex-bw/type/ice.gif","/pokedex-bw/type/special.png","60","The user blows its cold breath on the target. This attack always results in a critical hit.","Always inflicts a Critical Hit","100 %","0","100%","Selected Target","No","90","Subzero Slammer","120","Subzero Slammer","null"
"1597855636-1651","https://www.serebii.net//attackdex-sm/eggbomb.shtml","Egg Bomb","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","100","A large egg is hurled at the target with maximum force to inflict damage.","No effect.","-- %","0","4.17%","Selected Target","No","75","Breakneck Blitz","180","Breakneck Blitz","null"
"1597854543-1110","https://www.serebii.net//attackdex-sm/wingattack.shtml","Wing Attack","/pokedex-bw/type/flying.gif","/pokedex-bw/type/physical.png","60","The target is struck with large, imposing wings spread wide to inflict damage.","No effect.","-- %","0","4.17%","Selected Target","Yes","100","Supersonic Skystrike","120","Supersonic Skystrike","null"
"1597854545-1111","https://www.serebii.net//attackdex-sm/will-o-wisp.shtml","Will-O-Wisp","/pokedex-bw/type/fire.gif","/pokedex-bw/type/other.png","0","The user shoots a sinister, bluish-white flame at the target to inflict a burn.","Induces burn.","-- %","0","None","Selected Target","No","85","null","null","Attack ↥","Boosts Attack by 1 stage"
"1597855232-1450","https://www.serebii.net//attackdex-sm/mefirst.shtml","Me First","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","1","The user cuts ahead of the target to copy and use the target's intended move with greater power. This move fails if it isn't used first.","Users the target's move before the target Pokémon","-- %","0","None","adjacentFoe","No","0","null","null","Speed ↥↥","Boosts Speed by 2 stages"
"1597855046-1357","https://www.serebii.net//attackdex-sm/prismaticlaser.shtml","Prismatic Laser","/pokedex-bw/type/psychic.gif","/pokedex-bw/type/special.png","160","The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.","User cannot Attack on the next turn.","-- %","0","4.17%","Selected Target","No","100","Shattered Psyche","200","Shattered Psyche","null"
"1597855862-1763","https://www.serebii.net//attackdex-sm/bloomdoom.shtml","Bloom Doom","/pokedex-bw/type/grass.gif","/pokedex-bw/type/physical.png","1","The user collects energy from plants using its Z-Power and attacks the target with full force. The power varies, depending on the original move.","No effect.","-- %","0","4.17%","Selected Target","No","0","null","null","Secondary Effect:","null"
"1597855775-1720","https://www.serebii.net//attackdex-sm/confide.shtml","Confide","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user tells the target a secret, and the target loses its ability to concentrate. This lowers the target's Sp. Atk stat.","Lowers target's Special Attack by 1 stage","100 %","0","None","Selected Target","No","0","null","null","Special Defense ↥","Boosts Special Defense by 1 stage"
"1597855005-1337","https://www.serebii.net//attackdex-sm/quiverdance.shtml","Quiver Dance","/pokedex-bw/type/bug.gif","/pokedex-bw/type/other.png","0","The user lightly performs a beautiful, mystic dance. This boosts the user's Sp. Atk, Sp. Def, and Speed stats.","Raises user's Special Attack, Special Defense & Speed by one stage.","-- %","0","None","Self","No","0","null","null","Reset Stats","Resets all lowered stat modifications"
"1597855708-1687","https://www.serebii.net//attackdex-sm/devastatingdrake.shtml","Devastating Drake","/pokedex-bw/type/dragon.gif","/pokedex-bw/type/physical.png","1","The user materializes its aura using its Z-Power and attacks the target with full force. The power varies, depending on the original move.","No effect.","-- %","0","4.17%","Selected Target","No","0","null","null","Secondary Effect:","null"
"1597855599-1633","https://www.serebii.net//attackdex-sm/fairylock.shtml","Fairy Lock","/pokedex-bw/type/fairy.gif","/pokedex-bw/type/other.png","0","By locking down the battlefield, the user keeps all Pokémon from fleeing during the next turn.","Prevents opponent from fleeing this turn","-- %","0","None","Field","No","0","null","null","Defense ↥","Boosts Defense by 1 stage"
"1597854672-1174","https://www.serebii.net//attackdex-sm/tailwhip.shtml","Tail Whip","/pokedex-bw/type/normal.gif","/pokedex-bw/type/other.png","0","The user wags its tail cutely, making opposing Pokémon less wary and lowering their Defense stat.","Lowers opponent's Defense one stage.","-- %","0","None","All Adjacent Foes","No","100","null","null","Attack ↥","Boosts Attack by 1 stage"
"1597855513-1590","https://www.serebii.net//attackdex-sm/freeze-dry.shtml","Freeze-Dry","/pokedex-bw/type/ice.gif","/pokedex-bw/type/special.png","70","The user rapidly cools the target. This may also leave the target frozen. This move is super effective on Water types.","Will always have a Super Effective hit on Water-type Pokémon","10 %","0","4.17%","Selected Target","No","100","Subzero Slammer","140","Subzero Slammer","null"
"1597855801-1733","https://www.serebii.net//attackdex-sm/charge.shtml","Charge","/pokedex-bw/type/electric.gif","/pokedex-bw/type/other.png","0","The user boosts the power of the Electric move it uses on the next turn. This also raises the user's Sp. Def stat.","Boosts power of user's next Electric-type Attack by 100%. Increases user's Special Defense by 1 stage","-- %","0","None","Self","No","0","null","null","Special Defense ↥","Boosts Special Defense by 1 stage"
"1597854891-1282","https://www.serebii.net//attackdex-sm/self-destruct.shtml","Self-Destruct","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","200","The user attacks everything around it by causing an explosion. The user faints upon using this move.","User faints","-- %","0","4.17%","All Adjacent Pokémon","No","100","Breakneck Blitz","200","Breakneck Blitz","null"
"1597855902-1783","https://www.serebii.net//attackdex-sm/avalanche.shtml","Avalanche","/pokedex-bw/type/ice.gif","/pokedex-bw/type/physical.png","60","The power of this attack move is doubled if the user has been hurt by the target in the same turn.","Power doubles if user was hit before using the Attack.","-- %","-4","4.17%","Selected Target","Yes","100","Subzero Slammer","120","Subzero Slammer","null"
"1597855356-1512","https://www.serebii.net//attackdex-sm/icebeam.shtml","Ice Beam","/pokedex-bw/type/ice.gif","/pokedex-bw/type/special.png","90","The target is struck with an icy-cold beam of energy. This may also leave the target frozen.","May induce freeze.","10 %","0","4.17%","Selected Target","No","100","Subzero Slammer","175","Subzero Slammer","null"
"1597855835-1750","https://www.serebii.net//attackdex-sm/brine.shtml","Brine","/pokedex-bw/type/water.gif","/pokedex-bw/type/special.png","65","If the target's HP is half or less, this attack will hit with double the power.","Doubles damage if target has less than 50% HP","-- %","0","4.17%","Selected Target","No","100","Hydro Vortex","120","Hydro Vortex","null"
"1597855386-1527","https://www.serebii.net//attackdex-sm/hornattack.shtml","Horn Attack","/pokedex-bw/type/normal.gif","/pokedex-bw/type/physical.png","65","The target is jabbed with a sharply pointed horn to inflict damage.","No effect.","-- %","0","4.17%","Selected Target","Yes","100","Breakneck Blitz","120","Breakneck Blitz","null"
