web-scraper-order,web-scraper-start-url,Name,GameText,EffectDetail,DexNums
"1596676304-1742","https://www.serebii.net/abilitydex/infiltrator.shtml","Infiltrator","Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.","The protections and stat boosts caused by the moves Substitute, Reflect, Light Screen and Safeguard by the opponent are ignored.","609"
"1596676225-1350","https://www.serebii.net/abilitydex/moody.shtml","Moody","Raises one stat sharply and lowers another every turn.","At the end of every turn, a random stat (except Accuracy and Evasion) is raised by two stages while another is lowered by one stage.","224"
"1596676093-702","https://www.serebii.net/abilitydex/shellarmor.shtml","Shell Armor","A hard shell protects the Pokémon from critical hits.","Opponent’s moves cannot Critical Hit.","388"
"1596675959-15","https://www.serebii.net/abilitydex/whitesmoke.shtml","White Smoke","The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats.","Opponents’ moves which lower this Pokémon’s stats have no effect. However this Pokémon may lower its own stats with its own moves.","851"
"1596675981-114","https://www.serebii.net/abilitydex/unnerve.shtml","Unnerve","Unnerves opposing Pokémon and makes them unable to eat Berries.","The opponent Pokémon will never use their held Berry while the Pokémon is in battle.","668"
"1596676304-1723","https://www.serebii.net/abilitydex/infiltrator.shtml","Infiltrator","Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.","The protections and stat boosts caused by the moves Substitute, Reflect, Light Screen and Safeguard by the opponent are ignored.","677"
"1596676267-1530","https://www.serebii.net/abilitydex/levitate.shtml","Levitate","By floating in the air, the Pokémon receives full immunity to all Ground-type moves.","Damage dealing Ground-type moves have no effect on this Pokémon. Cannot be trapped by Arena Trap ability. Takes no damage from Spikes.","479"
"1596676296-1645","https://www.serebii.net/abilitydex/intimidate.shtml","Intimidate","The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.","Upon entering battle, the opponent’s Attack lowers one stage. In a Double Battle, both opponents’ Attack are lowered. Pokémon with the Clear Body, Hyper Cutter, or White Smoke ability are unaffected. In a link battle, if both sides switch on the same turn, and first player sends out a Pokémon with Intimidate, the opponent’s Attack will be lowered before the opponent’s Pokémon switches.","234"
"1596676097-752","https://www.serebii.net/abilitydex/shedskin.shtml","Shed Skin","The Pokémon may heal its own status conditions by shedding its skin.","Every turn, it has a 1 in 3 chance of healing from a status condition (BURN, PARALYZE, SLEEP, POISON, FREEZE).","588"
"1596676318-1773","https://www.serebii.net/abilitydex/icebody.shtml","Ice Body","The Pokémon gradually regains HP in a hailstorm.","HP is restored by 1/16th of maximum HP when its hailing.","712"
"1596676304-1743","https://www.serebii.net/abilitydex/infiltrator.shtml","Infiltrator","Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.","The protections and stat boosts caused by the moves Substitute, Reflect, Light Screen and Safeguard by the opponent are ignored.","686"
"1596676167-1075","https://www.serebii.net/abilitydex/pressure.shtml","Pressure","By putting pressure on the opposing Pokémon, it raises their PP usage.","When this Pokémon is hit by a move, the opponent’s PP lowers by 2 rather than 1.","442"
"1596676277-1618","https://www.serebii.net/abilitydex/ironfist.shtml","Iron Fist","Powers up punching moves.","The power of punching moves is increased by 20%.","675"
"1596676261-1471","https://www.serebii.net/abilitydex/lightningrod.shtml","Lightning Rod","The Pokémon draws in all Electric-type moves.  Instead of being hit by Electric-type moves,  it boosts its Sp. Atk.","Electric-type moves are drawn to this Pokémon. Electric-type moves will do no damage and the Pokémon's SP ATK is raised one stage.","25"
"1596676450-2296","https://www.serebii.net/abilitydex/bulletproof.shtml","Bulletproof","Protects the Pokémon from some ball and bomb moves.","null","784"
"1596676304-1730","https://www.serebii.net/abilitydex/infiltrator.shtml","Infiltrator","Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.","The protections and stat boosts caused by the moves Substitute, Reflect, Light Screen and Safeguard by the opponent are ignored.","887"
"1596676484-2422","https://www.serebii.net/abilitydex/aftermath.shtml","Aftermath","Damages the attacker if it contacts the Pokémon with a finishing hit.","The foe that dealt the final hit loses 1/4 of its maximum HP if the move made physical contact.","425"
"1596676318-1775","https://www.serebii.net/abilitydex/icebody.shtml","Ice Body","The Pokémon gradually regains HP in a hailstorm.","HP is restored by 1/16th of maximum HP when its hailing.","883"
"1596676006-224","https://www.serebii.net/abilitydex/thickfat.shtml","Thick Fat","The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.","Fire and Ice-type moves deal 50% damage.","87"
"1596676426-2184","https://www.serebii.net/abilitydex/cursedbody.shtml","Cursed Body","May disable a move used on the Pokémon.","When a move hits the Pokémon, that move has a 30% chance of getting disabled","94"
"1596676119-853","https://www.serebii.net/abilitydex/sandrush.shtml","Sand Rush","Boosts the Pokémon's Speed stat in a sandstorm.","Speed is doubled within a sandstorm","745"
"1596676233-1381","https://www.serebii.net/abilitydex/minus.shtml","Minus","Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.","When battling with Plus or Minus, Special Attack increases by 50%.","601"
"1596676352-1922","https://www.serebii.net/abilitydex/gluttony.shtml","Gluttony","Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.","The Pokémon will use a berry when its Hit Points are below 50%.","88"
"1596676049-518","https://www.serebii.net/abilitydex/steadfast.shtml","Steadfast","The Pokémon's determination boosts the Speed stat each time the Pokémon flinches.","Speed raises by one level every time the Pokémon flinches.","447"
"1596676380-2054","https://www.serebii.net/abilitydex/flamebody.shtml","Flame Body","Contact with the Pokémon may burn the attacker.","The opponent has a 30% chance of being induced with Burn when using an attack, that requires physical contact, against this Pokémon.","839"
"1596676267-1518","https://www.serebii.net/abilitydex/levitate.shtml","Levitate","By floating in the air, the Pokémon receives full immunity to all Ground-type moves.","Damage dealing Ground-type moves have no effect on this Pokémon. Cannot be trapped by Arena Trap ability. Takes no damage from Spikes.","479"
"1596676113-826","https://www.serebii.net/abilitydex/sandveil.shtml","Sand Veil","Boosts the Pokémon's evasion in a sandstorm.","Raises the Pokémon’s evasion during a sandstorm by one level.","472"
"1596676269-1540","https://www.serebii.net/abilitydex/leafguard.shtml","Leaf Guard","Prevents status conditions in sunny weather.","Prevents the Pokémon from being afflicted by status conditions during strong sunlight.","465"
"1596676077-612","https://www.serebii.net/abilitydex/snowcloak.shtml","Snow Cloak","Boosts evasion in a hailstorm.","Raises the Pokémon’s evasion during a hailstorm by one level.","28"
"1596676203-1282","https://www.serebii.net/abilitydex/oblivious.shtml","Oblivious","The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.","The Pokémon cannot be under the Attract condition, Intimidated, or be taunted, while having this ability.","339"
"1596676243-1399","https://www.serebii.net/abilitydex/magnetpull.shtml","Magnet Pull","Prevents Steel-type Pokémon from escaping using its magnetic force.","Steel types cannot run nor switch while this Pokémon is in battle. Because the opponent’s switching is blocked, the opponent cannot switch on the turn this Pokémon switches out of battle. The opponent may still switch with Baton Pass.","82"
"1596676261-1460","https://www.serebii.net/abilitydex/lightningrod.shtml","Lightning Rod","The Pokémon draws in all Electric-type moves.  Instead of being hit by Electric-type moves,  it boosts its Sp. Atk.","Electric-type moves are drawn to this Pokémon. Electric-type moves will do no damage and the Pokémon's SP ATK is raised one stage.","105"
"1596676474-2383","https://www.serebii.net/abilitydex/arenatrap.shtml","Arena Trap","Prevents opposing Pokémon from fleeing.","The opponent cannot run nor switch. Flying-type Pokémon and Pokémon with the Levitate special ability are unaffected. If this Pokémon switches, the opponent is still trapped for that turn. The opponent may still switch by using Baton Pass.","328"
"1596675975-104","https://www.serebii.net/abilitydex/vitalspirit.shtml","Vital Spirit","The Pokémon is full of vitality, and that prevents it from falling asleep.","The Pokémon cannot be Asleep while having this ability.","236"
"1596675969-62","https://www.serebii.net/abilitydex/waterabsorb.shtml","Water Absorb","Restores HP if hit by a Water-type move, instead of taking damage.","The Pokémon heals up to 1/4 of its maximum Hit Points when hit with Water-type moves.","194"
"1596676324-1831","https://www.serebii.net/abilitydex/hustle.shtml","Hustle","Boosts the Attack stat, but lowers accuracy.","Damage from physical attacks is increased by 50%, but average accuracy is only 80%.","19"
"1596676033-454","https://www.serebii.net/abilitydex/sturdy.shtml","Sturdy","It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.","The Pokémon will remain with 1 HP if it was going to be knocked out by a move when at full Hit Points, and it is immune to One Hit KO moves.","438"
"1596676177-1117","https://www.serebii.net/abilitydex/poisontouch.shtml","Poison Touch","May poison a target when the Pokémon makes contact.","When the Pokémon attacks its opponents with a move that causes Physical Contact, there is a 30% chance that the target is Poisoned.","88"
"1596676364-1989","https://www.serebii.net/abilitydex/friendguard.shtml","Friend Guard","Reduces damage done to allies.","In Double & Triple battles, the damage that ally Pokémon receive from attacks is reduced by 25%.","35"
"1596676428-2195","https://www.serebii.net/abilitydex/cottondown.shtml","Cotton Down","When the Pokémon is hit by an attack, it scatters cotton fluff around and lowers the Speed stat of all Pokémon except itself.","null","830"
"1596676235-1386","https://www.serebii.net/abilitydex/mimicry.shtml","Mimicry","Changes the Pokémon's type depending on the terrain.","Changes to Electric-type in Electric Terrain, Psychic-type in Psychic Terrain, Grass-type in Grassy Terrain  and Fairy type in Fairy-terrain. The type reverts to normal when the terrain ends.","618"
"1596676356-1958","https://www.serebii.net/abilitydex/galewings.shtml","Gale Wings","Gives priority to Flying-type moves when the  Pokémon's HP is full.","All Flying-type moves have their Speed Priority increased by 1 if the Pokémon's Hit Points are at maximum","663"
"1596676169-1106","https://www.serebii.net/abilitydex/prankster.shtml","Prankster","Gives priority to a status move.","Status category moves have their Speed Priority increased by 1. Moves increased by this that are used on Dark-type opponents will fail.","509"
"1596676352-1933","https://www.serebii.net/abilitydex/gluttony.shtml","Gluttony","Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.","The Pokémon will use a berry when its Hit Points are below 50%.","515"
"1596676147-1028","https://www.serebii.net/abilitydex/quickfeet.shtml","Quick Feet","Boosts the Speed stat if the Pokémon has a status condition.","Speed is increased by 50% when induced with a status (Burn, Poison, Sleep, Frozen & Paralysis). If Paralysed, the speed drop is ignored.","210"
"1596676071-590","https://www.serebii.net/abilitydex/solidrock.shtml","Solid Rock","Reduces the power of supereffective attacks taken.","Damage by super-effective moves is reduced by 25%.","464"
"1596676380-2045","https://www.serebii.net/abilitydex/flamebody.shtml","Flame Body","Contact with the Pokémon may burn the attacker.","The opponent has a 30% chance of being induced with Burn when using an attack, that requires physical contact, against this Pokémon.","607"
"1596676488-2439","https://www.serebii.net/abilitydex/adaptability.shtml","Adaptability","Powers up moves of the same type as the Pokémon.","Increases the Same Type Attack Bonus from *1.5 to *2.","550"
"1596676135-971","https://www.serebii.net/abilitydex/regenerator.shtml","Regenerator","Restores a little HP when withdrawn from battle.","When the Pokémon switches out of battle, up to 33.3% of its maximum Hit Points are restored","250"
"1596676207-1303","https://www.serebii.net/abilitydex/noguard.shtml","No Guard","The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.","The accuracy of all moves known by this Pokémon and all Pokémon targeting this Pokémon raises to 100%","588"
"1596676093-699","https://www.serebii.net/abilitydex/shellarmor.shtml","Shell Armor","A hard shell protects the Pokémon from critical hits.","Opponent’s moves cannot Critical Hit.","834"
"1596676410-2122","https://www.serebii.net/abilitydex/defiant.shtml","Defiant","Boosts the Pokémon's Attack stat sharply when its stats are lowered.","Attack is raised by two stages when the Pokémon has its stats lowered. Doesn't work on self inflicted stat drops or drops from allies","83"
"1596676442-2232","https://www.serebii.net/abilitydex/cloudnine.shtml","Cloud Nine","Eliminates the effects of weather.","All weather effects are negated while the Pokémon is on the field.","108"
"1596676227-1371","https://www.serebii.net/abilitydex/moldbreaker.shtml","Mold Breaker","Moves can be used on the target regardless of its Abilities.","The Pokémon's moves are not affected by foe’s abilities during battle","550"
"1596675983-143","https://www.serebii.net/abilitydex/unburden.shtml","Unburden","Boosts the Speed stat if the Pokémon's held item is  used or lost.","Speed is doubled once the held item is consumed.","828"
"1596676111-801","https://www.serebii.net/abilitydex/sapsipper.shtml","Sap Sipper","Boosts the Attack stat if hit by a Grass-type move, instead of taking damage.","Attack is raised by one stage when the Pokémon is hit by a Grass-type move. User receives no damage from Grass-type attacks.","673"
"1596676245-1406","https://www.serebii.net/abilitydex/magmaarmor.shtml","Magma Armor","The Pokémon is covered with hot magma, which prevents the Pokémon from becoming frozen.","This Pokémon cannot be Frozen while having this ability.","323"
"1596676021-376","https://www.serebii.net/abilitydex/swiftswim.shtml","Swift Swim","Boosts the Pokémon's Speed stat in rain.","When rainy, The Pokémon’s Speed doubles.","834"
"1596676001-185","https://www.serebii.net/abilitydex/torrent.shtml","Torrent","Powers up Water-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Water-type moves is increased by 50%.","8"
"1596676366-2002","https://www.serebii.net/abilitydex/forewarn.shtml","Forewarn","When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has.","Reveals the foe’s strongest move.","518"
"1596676107-785","https://www.serebii.net/abilitydex/scrappy.shtml","Scrappy","The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.","Allows the Pokémon to hit Ghost-type Pokémon with Normal-type and Fighting-type moves. Blocks Intimidate","276"
"1596676199-1241","https://www.serebii.net/abilitydex/overgrow.shtml","Overgrow","Powers up Grass-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Grass-type moves is increased by 50%.","724"
"1596676127-916","https://www.serebii.net/abilitydex/rockhead.shtml","Rock Head","Protects the Pokémon from recoil damage.","Does not receive recoil damage from recoil-causing damages.","104"
"1596676308-1749","https://www.serebii.net/abilitydex/immunity.shtml","Immunity","The immune system of the Pokémon prevents it from getting poisoned.","The Pokémon cannot be Poisoned while having this ability.","207"
"1596676243-1403","https://www.serebii.net/abilitydex/magnetpull.shtml","Magnet Pull","Prevents Steel-type Pokémon from escaping using its magnetic force.","Steel types cannot run nor switch while this Pokémon is in battle. Because the opponent’s switching is blocked, the opponent cannot switch on the turn this Pokémon switches out of battle. The opponent may still switch with Baton Pass.","808"
"1596676169-1101","https://www.serebii.net/abilitydex/prankster.shtml","Prankster","Gives priority to a status move.","Status category moves have their Speed Priority increased by 1. Moves increased by this that are used on Dark-type opponents will fail.","198"
"1596676203-1270","https://www.serebii.net/abilitydex/oblivious.shtml","Oblivious","The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.","The Pokémon cannot be under the Attract condition, Intimidated, or be taunted, while having this ability.","79"
"1596676380-2047","https://www.serebii.net/abilitydex/flamebody.shtml","Flame Body","Contact with the Pokémon may burn the attacker.","The opponent has a 30% chance of being induced with Burn when using an attack, that requires physical contact, against this Pokémon.","609"
"1596676009-275","https://www.serebii.net/abilitydex/telepathy.shtml","Telepathy","Anticipates an ally's attack and dodges it.","Prevents damage from team-mates during Double and Triple battles","826"
"1596676265-1488","https://www.serebii.net/abilitydex/libero.shtml","Libero","Changes the Pokémon's type to the type of the move it's about to use.","null","815"
"1596676065-561","https://www.serebii.net/abilitydex/speedboost.shtml","Speed Boost","Its Speed stat is boosted every turn.","Speed increases by one stage at the end of each turn.","193"
"1596676324-1834","https://www.serebii.net/abilitydex/hustle.shtml","Hustle","Boosts the Attack stat, but lowers accuracy.","Damage from physical attacks is increased by 50%, but average accuracy is only 80%.","30"
"1596676273-1592","https://www.serebii.net/abilitydex/keeneye.shtml","Keen Eye","Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.","Opponent cannot lower this Pokémon’s accuracy. The Pokémon ignores evasion boosts of the opponent","731"
"1596676111-803","https://www.serebii.net/abilitydex/sapsipper.shtml","Sap Sipper","Boosts the Attack stat if hit by a Grass-type move, instead of taking damage.","Attack is raised by one stage when the Pokémon is hit by a Grass-type move. User receives no damage from Grass-type attacks.","705"
"1596676135-968","https://www.serebii.net/abilitydex/regenerator.shtml","Regenerator","Restores a little HP when withdrawn from battle.","When the Pokémon switches out of battle, up to 33.3% of its maximum Hit Points are restored","114"
"1596675969-56","https://www.serebii.net/abilitydex/waterabsorb.shtml","Water Absorb","Restores HP if hit by a Water-type move, instead of taking damage.","The Pokémon heals up to 1/4 of its maximum Hit Points when hit with Water-type moves.","61"
"1596676191-1191","https://www.serebii.net/abilitydex/perishbody.shtml","Perish Body","When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle.","null","864"
"1596676300-1713","https://www.serebii.net/abilitydex/innerfocus.shtml","Inner Focus","The Pokémon's intensely focused, and that protects the Pokémon from flinching.","This Pokémon will not flinch. Does not prevent flinching with Focus Punch. Also prevents stats from being lowered by the ability Intimidate","243"
"1596676227-1373","https://www.serebii.net/abilitydex/moldbreaker.shtml","Mold Breaker","Moves can be used on the target regardless of its Abilities.","The Pokémon's moves are not affected by foe’s abilities during battle","701"
"1596676320-1783","https://www.serebii.net/abilitydex/hypercutter.shtml","Hyper Cutter","The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.","Opponent cannot lower this Pokémon’s Attack value. This Pokémon may still lower its own Attack value using a move of by itself.","99"
"1596676362-1965","https://www.serebii.net/abilitydex/frisk.shtml","Frisk","When it enters a battle, the Pokémon can check an opposing Pokémon's held item.","Reveals the foe’s held item.","354"
"1596676267-1528","https://www.serebii.net/abilitydex/levitate.shtml","Levitate","By floating in the air, the Pokémon receives full immunity to all Ground-type moves.","Damage dealing Ground-type moves have no effect on this Pokémon. Cannot be trapped by Arena Trap ability. Takes no damage from Spikes.","635"
"1596676201-1269","https://www.serebii.net/abilitydex/overcoat.shtml","Overcoat","Protects the Pokémon from things like sand, hail, and powder.","Protects Pokémon from Weather Effects and Powder moves such as Sleep Powder, Poison Powder etc.","784"
"1596676352-1919","https://www.serebii.net/abilitydex/gluttony.shtml","Gluttony","Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.","The Pokémon will use a berry when its Hit Points are below 50%.","19"
"1596676332-1852","https://www.serebii.net/abilitydex/heavymetal.shtml","Heavy Metal","Doubles the Pokémon's weight.","null","884"
"1596676131-951","https://www.serebii.net/abilitydex/rivalry.shtml","Rivalry","Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.","Attack & Special Attack is increased by 25% if the foe is of the same gender; Attack & Special Attack is decreased by 25% if the foe is of the opposite gender.","520"
"1596676041-508","https://www.serebii.net/abilitydex/stench.shtml","Stench","By releasing stench when attacking, this Pokémon may cause the target to flinch.","If the Pokémon uses a move that deals damage on the opponent, there is a chance the opponent flinches","110"
"1596676392-2080","https://www.serebii.net/abilitydex/earlybird.shtml","Early Bird","The Pokémon awakens twice as fast as other Pokémon from sleep.","Sleep conditions lasts for half as long, rounding down. For example, half of three turns is 1.5, which rounds down to one turn. When the number of turns to sleep is one, half of this rounded down is zero, and the Pokémon wakes up instantly.","84"
"1596676011-299","https://www.serebii.net/abilitydex/technician.shtml","Technician","Powers up the Pokémon's weaker moves.","Moves with a base power of 60 or less are boosted in power by 50%","852"
"1596676296-1649","https://www.serebii.net/abilitydex/intimidate.shtml","Intimidate","The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.","Upon entering battle, the opponent’s Attack lowers one stage. In a Double Battle, both opponents’ Attack are lowered. Pokémon with the Clear Body, Hyper Cutter, or White Smoke ability are unaffected. In a link battle, if both sides switch on the same turn, and first player sends out a Pokémon with Intimidate, the opponent’s Attack will be lowered before the opponent’s Pokémon switches.","303"
"1596676009-270","https://www.serebii.net/abilitydex/telepathy.shtml","Telepathy","Anticipates an ally's attack and dodges it.","Prevents damage from team-mates during Double and Triple battles","786"
"1596676075-608","https://www.serebii.net/abilitydex/snowwarning.shtml","Snow Warning","The Pokémon summons a hailstorm when it enters a battle.","Hailstorm blows when the Pokémon enters battle. As of X & Y, this lasts 5 turns.","38"
"1596676384-2065","https://www.serebii.net/abilitydex/fairyaura.shtml","Fairy Aura","Powers up each Pokémon's Fairy-type moves.","Powers up every Pokémon in play's Fairy-type moves by 33.3%","716"
"1596676261-1470","https://www.serebii.net/abilitydex/lightningrod.shtml","Lightning Rod","The Pokémon draws in all Electric-type moves.  Instead of being hit by Electric-type moves,  it boosts its Sp. Atk.","Electric-type moves are drawn to this Pokémon. Electric-type moves will do no damage and the Pokémon's SP ATK is raised one stage.","871"
"1596676135-969","https://www.serebii.net/abilitydex/regenerator.shtml","Regenerator","Restores a little HP when withdrawn from battle.","When the Pokémon switches out of battle, up to 33.3% of its maximum Hit Points are restored","199"
"1596675952-2","https://www.serebii.net/abilitydex/zenmode.shtml","Zen Mode","Changes the Pokémon's shape when HP is half or less.","When Hit Points get to 50% of maximum, the Pokémon changes form. The Pokémon reverts back to its standard form if it loses this ability or returns to over 50% of its Hit Points","555"
"1596675963-40","https://www.serebii.net/abilitydex/waterveil.shtml","Water Veil","The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn.","This Pokémon cannot be Burned while having this ability.","118"
"1596676478-2402","https://www.serebii.net/abilitydex/angerpoint.shtml","Anger Point","The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.","Increases Attack to maximum level upon taking a critical hit.","128"
"1596676458-2351","https://www.serebii.net/abilitydex/beastboost.shtml","Beast Boost","The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.","Increases the Pokémon's highest stat when it knocks out a Pokémon","798"
"1596676067-579","https://www.serebii.net/abilitydex/soundproof.shtml","Soundproof","Soundproofing of the Pokémon itself gives full  immunity to all sound-based moves.","Unaffected by sound moves. If this Pokémon switches out with Baton Pass, Perish Song against the switched out will not be nullified.","439"
"1596676033-451","https://www.serebii.net/abilitydex/sturdy.shtml","Sturdy","It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.","The Pokémon will remain with 1 HP if it was going to be knocked out by a move when at full Hit Points, and it is immune to One Hit KO moves.","306"
"1596676213-1321","https://www.serebii.net/abilitydex/naturalcure.shtml","Natural Cure","All status conditions heal when the Pokémon switches out.","The Pokémon’s status (BURN, PARALYZE, SLEEP, POISON, FREEZE) is healed when withdrawn from battle.","407"
"1596676442-2235","https://www.serebii.net/abilitydex/cloudnine.shtml","Cloud Nine","Eliminates the effects of weather.","All weather effects are negated while the Pokémon is on the field.","463"
"1596676091-677","https://www.serebii.net/abilitydex/shielddust.shtml","Shield Dust","This Pokémon's dust blocks the additional effects of attacks taken.","Damaging moves used by the opponent will not have an additional effect.","872"
"1596676338-1879","https://www.serebii.net/abilitydex/harvest.shtml","Harvest","May create another Berry after one is used.","The Pokémon has a 50% chance of restoring a consumed berry. During sunshine, this chance increases to 100%","103"
"1596676079-629","https://www.serebii.net/abilitydex/sniper.shtml","Sniper","Powers up moves if they become critical hits when attacking.","Power of critical-hit moves is increased to 225% rather than 150%.","230"
"1596676131-952","https://www.serebii.net/abilitydex/rivalry.shtml","Rivalry","Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.","Attack & Special Attack is increased by 25% if the foe is of the same gender; Attack & Special Attack is decreased by 25% if the foe is of the opposite gender.","521"
"1596676067-578","https://www.serebii.net/abilitydex/soundproof.shtml","Soundproof","Soundproofing of the Pokémon itself gives full  immunity to all sound-based moves.","Unaffected by sound moves. If this Pokémon switches out with Baton Pass, Perish Song against the switched out will not be nullified.","295"
"1596676075-607","https://www.serebii.net/abilitydex/snowwarning.shtml","Snow Warning","The Pokémon summons a hailstorm when it enters a battle.","Hailstorm blows when the Pokémon enters battle. As of X & Y, this lasts 5 turns.","37"
"1596676424-2176","https://www.serebii.net/abilitydex/cutecharm.shtml","Cute Charm","Contact with the Pokémon may cause infatuation.","The opponent has a 30% chance of being induced with Attract when using an attack, that requires physical contact, against this Pokémon.","700"
"1596676203-1275","https://www.serebii.net/abilitydex/oblivious.shtml","Oblivious","The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.","The Pokémon cannot be under the Attract condition, Intimidated, or be taunted, while having this ability.","220"
"1596676267-1510","https://www.serebii.net/abilitydex/levitate.shtml","Levitate","By floating in the air, the Pokémon receives full immunity to all Ground-type moves.","Damage dealing Ground-type moves have no effect on this Pokémon. Cannot be trapped by Arena Trap ability. Takes no damage from Spikes.","436"
"1596676322-1814","https://www.serebii.net/abilitydex/hydration.shtml","Hydration","Heals status conditions if it's raining.","All status problems: Burn, Paralysis, Sleep, Frozen and Poison, are healed when raining.","370"
"1596676277-1617","https://www.serebii.net/abilitydex/ironfist.shtml","Iron Fist","Powers up punching moves.","The power of punching moves is increased by 20%.","674"
"1596676362-1964","https://www.serebii.net/abilitydex/frisk.shtml","Frisk","When it enters a battle, the Pokémon can check an opposing Pokémon's held item.","Reveals the foe’s held item.","353"
"1596676314-1760","https://www.serebii.net/abilitydex/icescales.shtml","Ice Scales","The Pokémon is protected by ice scales, which halve the damage taken from special moves.","null","872"
"1596676193-1193","https://www.serebii.net/abilitydex/pastelveil.shtml","Pastel Veil","Protects the Pokémon and its ally Pokémon from being poisoned.","null","78"
"1596676298-1681","https://www.serebii.net/abilitydex/insomnia.shtml","Insomnia","The Pokémon is suffering from insomnia and cannot fall asleep.","The Pokémon cannot be put to Sleep while having this ability.","430"
"1596676394-2099","https://www.serebii.net/abilitydex/dryskin.shtml","Dry Skin","Restores HP in rain or when hit by Water-type moves. Reduces HP in sunshine, and increases the damage received from Fire-type moves.","HP is restored when hit by Water-type moves or when it is raining but also makes the Pokémon weak to Fire-type moves and reduces HP during strong sunlight.","694"
"1596676029-422","https://www.serebii.net/abilitydex/superluck.shtml","Super Luck","The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.","Raises the critical-hit ratio of moves by one level.","520"
"1596676121-866","https://www.serebii.net/abilitydex/sandforce.shtml","Sand Force","Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.","Ground-type, Rock-type & Steel-type moves have their power increased by 33% in a Sandstorm","51"
"1596676227-1363","https://www.serebii.net/abilitydex/moldbreaker.shtml","Mold Breaker","Moves can be used on the target regardless of its Abilities.","The Pokémon's moves are not affected by foe’s abilities during battle","612"
"1596676021-361","https://www.serebii.net/abilitydex/swiftswim.shtml","Swift Swim","Boosts the Pokémon's Speed stat in rain.","When rainy, The Pokémon’s Speed doubles.","537"
"1596676006-232","https://www.serebii.net/abilitydex/thickfat.shtml","Thick Fat","The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.","Fire and Ice-type moves deal 50% damage.","298"
"1596676009-266","https://www.serebii.net/abilitydex/telepathy.shtml","Telepathy","Anticipates an ally's attack and dodges it.","Prevents damage from team-mates during Double and Triple battles","518"
"1596676035-477","https://www.serebii.net/abilitydex/strongjaw.shtml","Strong Jaw","The Pokémon's strong jaw boosts the power of its biting moves.","Increases the power of biting moves by 50%","735"
"1596676404-2115","https://www.serebii.net/abilitydex/disguise.shtml","Disguise","Once per battle, the shroud that covers the Pokémon can protect it from an attack.","Once per battle, the Pokémon can withstand one damaging attack without receiving any damage. Damage inflicted through entry hazards, weather or status conditions will not break the disguise. Damage from Confusion will break the Disguise.  It causes 1/8th of max Hit Point damage when it breaks","778"
"1596676249-1415","https://www.serebii.net/abilitydex/magicguard.shtml","Magic Guard","The Pokémon only takes damage from attacks.","Prevents all damage except from direct-attack moves.","36"
"1596676251-1430","https://www.serebii.net/abilitydex/magicbounce.shtml","Magic Bounce","Reflects status moves, instead of getting hit by them.","Reflects non-attacking moves used on the Pokémon back to the attacking Pokémon","856"
"1596676324-1826","https://www.serebii.net/abilitydex/hustle.shtml","Hustle","Boosts the Attack stat, but lowers accuracy.","Damage from physical attacks is increased by 50%, but average accuracy is only 80%.","554"
"1596676263-1478","https://www.serebii.net/abilitydex/lightmetal.shtml","Light Metal","Halves the Pokémon's weight.","null","884"
"1596676450-2294","https://www.serebii.net/abilitydex/bulletproof.shtml","Bulletproof","Protects the Pokémon from some ball and bomb moves.","null","782"
