web-scraper-order,web-scraper-start-url,Name,GameText,EffectDetail,DexNum,DexImage-src
"1596680035-3485","https://www.serebii.net/abilitydex/sandforce.shtml","Sand Force","Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.","Ground-type, Rock-type & Steel-type moves have their power increased by 33% in a Sandstorm","524","/pokedex-swsh/icon/524.png"
"1596680364-4911","https://www.serebii.net/abilitydex/bulletproof.shtml","Bulletproof","Protects the Pokémon from some ball and bomb moves.","null","652","/pokedex-sm/icon/652.png"
"1596680264-4558","https://www.serebii.net/abilitydex/gluttony.shtml","Gluttony","Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.","The Pokémon will use a berry when its Hit Points are below 50%.","316","/pokedex-sm/icon/316.png"
"1596680264-4564","https://www.serebii.net/abilitydex/gluttony.shtml","Gluttony","Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.","The Pokémon will use a berry when its Hit Points are below 50%.","820","/pokedex-swsh/icon/820.png"
"1596680094-3748","https://www.serebii.net/abilitydex/poisonpoint.shtml","Poison Point","Contact with the Pokémon may poison the attacker.","The opponent has a 30% chance of being induced with Poison when using an attack, that requires physical contact, against this Pokémon.","407","/pokedex-swsh/icon/407.png"
"1596680201-4254","https://www.serebii.net/abilitydex/intimidate.shtml","Intimidate","The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.","Upon entering battle, the opponent’s Attack lowers one stage. In a Double Battle, both opponents’ Attack are lowered. Pokémon with the Clear Body, Hyper Cutter, or White Smoke ability are unaffected. In a link battle, if both sides switch on the same turn, and first player sends out a Pokémon with Intimidate, the opponent’s Attack will be lowered before the opponent’s Pokémon switches.","130","/pokedex-swsh/icon/130.png"
"1596679905-2867","https://www.serebii.net/abilitydex/telepathy.shtml","Telepathy","Anticipates an ally's attack and dodges it.","Prevents damage from team-mates during Double and Triple battles","202","/pokedex-swsh/icon/202.png"
"1596679938-3119","https://www.serebii.net/abilitydex/stench.shtml","Stench","By releasing stench when attacking, this Pokémon may cause the target to flinch.","If the Pokémon uses a move that deals damage on the opponent, there is a chance the opponent flinches","109","/pokedex-swsh/icon/109.png"
"1596679859-2664","https://www.serebii.net/abilitydex/watercompaction.shtml","Water Compaction","Boosts the Pokémon's Defense stat sharply when hit by a Water-type move.","Increases Defense by 2 stages every time it is hit by a Water-type move","770","/pokedex-swsh/icon/770.png"
"1596680230-4446","https://www.serebii.net/abilitydex/hustle.shtml","Hustle","Boosts the Attack stat, but lowers accuracy.","Damage from physical attacks is increased by 50%, but average accuracy is only 80%.","30","/pokedex-sm/icon/030.png"
"1596679995-3358","https://www.serebii.net/abilitydex/shedskin.shtml","Shed Skin","The Pokémon may heal its own status conditions by shedding its skin.","Every turn, it has a 1 in 3 chance of healing from a status condition (BURN, PARALYZE, SLEEP, POISON, FREEZE).","268","/pokedex-sm/icon/268.png"
"1596679947-3156","https://www.serebii.net/abilitydex/static.shtml","Static","The Pokémon is charged with static electricity, so contact with it may cause paralysis.","The opponent has a 30% chance of being induced with PARALYZE when using an attack, that requires physical contact, against this Pokémon.","587","/pokedex-swsh/icon/587.png"
"1596680392-5012","https://www.serebii.net/abilitydex/angerpoint.shtml","Anger Point","The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.","Increases Attack to maximum level upon taking a critical hit.","56","/pokedex-sm/icon/056.png"
"1596680205-4316","https://www.serebii.net/abilitydex/innerfocus.shtml","Inner Focus","The Pokémon's intensely focused, and that protects the Pokémon from flinching.","This Pokémon will not flinch. Does not prevent flinching with Focus Punch. Also prevents stats from being lowered by the ability Intimidate","624","/pokedex-swsh/icon/624.png"
"1596680276-4583","https://www.serebii.net/abilitydex/frisk.shtml","Frisk","When it enters a battle, the Pokémon can check an opposing Pokémon's held item.","Reveals the foe’s held item.","710","/pokedex-swsh/icon/710.png"
"1596680115-3835","https://www.serebii.net/abilitydex/overgrow.shtml","Overgrow","Powers up Grass-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Grass-type moves is increased by 50%.","3","/pokedex-swsh/icon/003-gi.png"
"1596680098-3763","https://www.serebii.net/abilitydex/plus.shtml","Plus","Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.","When battling with Plus or Minus, Special Attack increases by 50%.","179","/pokedex-sm/icon/179.png"
"1596680392-5018","https://www.serebii.net/abilitydex/angerpoint.shtml","Anger Point","The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.","Increases Attack to maximum level upon taking a critical hit.","553","/pokedex-swsh/icon/553.png"
"1596679984-3279","https://www.serebii.net/abilitydex/shieldsdown.shtml","Shields Down","When its HP becomes half or less, the Pokémon's shell breaks and it becomes aggressive.","Changes the Pokémon into its Core form when its Hit Points drop below 50%. Before then, it cannot be affected by Status Conditions such as Burn or Paralysis","774","/pokedex-sm/icon/774-r.png"
"1596680039-3520","https://www.serebii.net/abilitydex/roughskin.shtml","Rough Skin","This Pokémon inflicts damage with its rough skin to the attacker on contact.","The opponent is hurt by 1/8th of his maxium Hit Points of recoil when using an attack, that requires physical contact, against this Pokémon.","621","/pokedex-swsh/icon/621.png"
"1596679877-2734","https://www.serebii.net/abilitydex/unnerve.shtml","Unnerve","Unnerves opposing Pokémon and makes them unable to eat Berries.","The opponent Pokémon will never use their held Berry while the Pokémon is in battle.","52","/pokedex-swsh/icon/052-g.png"
"1596679946-3140","https://www.serebii.net/abilitydex/steadfast.shtml","Steadfast","The Pokémon's determination boosts the Speed stat each time the Pokémon flinches.","Speed raises by one level every time the Pokémon flinches.","237","/pokedex-swsh/icon/237.png"
"1596680118-3894","https://www.serebii.net/abilitydex/oblivious.shtml","Oblivious","The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.","The Pokémon cannot be under the Attract condition, Intimidated, or be taunted, while having this ability.","339","/pokedex-swsh/icon/339.png"
"1596679897-2820","https://www.serebii.net/abilitydex/torrent.shtml","Torrent","Powers up Water-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Water-type moves is increased by 50%.","818","/pokedex-swsh/icon/818.png"
"1596680280-4613","https://www.serebii.net/abilitydex/forewarn.shtml","Forewarn","When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has.","Reveals the foe’s strongest move.","517","/pokedex-swsh/icon/517.png"
"1596680290-4629","https://www.serebii.net/abilitydex/flashfire.shtml","Flash Fire","Powers up the Pokémon's Fire-type moves if it's hit by one.","Activates when user is hit by a damaging Fire-type move (including Fire-type Hidden Power). Once activated, user’s Fire-type moves deal 1.5 times damage. While this ability is in effect, this Pokémon is immune to damage from Fire-type attacks and Fire-type Hidden Power (accuracy and effect from these moves are ignored). For Fire-type Pokémon with this ability, Will-O-Wisp activates this ability without having an effect. If a non-Fire-type Pokémon has this ability, Will-O-Wisp will activate the ability and will have an effect.","59","/pokedex-swsh/icon/059.png"
"1596679913-2930","https://www.serebii.net/abilitydex/synchronize.shtml","Synchronize","The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon.","When this Pokémon becomes Poisoned, Paralyzed, or Burned, so does the opponent. However, Fire-type and Water Veil ability Pokémon cannot be Burned, Poison-type and Steel-type and Immunity ability Pokémon cannot be Poisoned, and Limber ability Pokémon cannot be Paralyzed.","197","/pokedex-swsh/icon/197.png"
"1596680053-3606","https://www.serebii.net/abilitydex/reckless.shtml","Reckless","Powers up moves that have recoil damage.","The power of moves that have recoil damage is increased by 20%.","464","/pokedex-swsh/icon/464.png"
"1596680230-4444","https://www.serebii.net/abilitydex/hustle.shtml","Hustle","Boosts the Attack stat, but lowers accuracy.","Damage from physical attacks is increased by 50%, but average accuracy is only 80%.","20","/pokedex-sm/icon/020.png"
"1596680215-4363","https://www.serebii.net/abilitydex/illusion.shtml","Illusion","Comes out disguised as the Pokémon in the party's last spot.","When sent out into battle, it takes the name and appearance of the last non-fainted Pokémon within your party. It breaks when an attack does damage on the Pokémon but not from Weather Effects or Entry Hazards.","571","/pokedex-swsh/icon/571.png"
"1596680174-4057","https://www.serebii.net/abilitydex/limber.shtml","Limber","Its limber body protects the Pokémon from paralysis.","The Pokémon cannot be Paralysed while having this ability.","106","/pokedex-swsh/icon/106.png"
"1596680115-3832","https://www.serebii.net/abilitydex/overgrow.shtml","Overgrow","Powers up Grass-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Grass-type moves is increased by 50%.","1","/pokedex-swsh/icon/001.png"
"1596679897-2796","https://www.serebii.net/abilitydex/torrent.shtml","Torrent","Powers up Water-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Water-type moves is increased by 50%.","7","/pokedex-swsh/icon/007.png"
"1596679857-2658","https://www.serebii.net/abilitydex/waterveil.shtml","Water Veil","The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn.","This Pokémon cannot be Burned while having this ability.","418","/pokedex-sm/icon/418.png"
"1596680180-4099","https://www.serebii.net/abilitydex/libero.shtml","Libero","Changes the Pokémon's type to the type of the move it's about to use.","null","815","/pokedex-swsh/icon/815.png"
"1596679994-3324","https://www.serebii.net/abilitydex/sheerforce.shtml","Sheer Force","Removes additional effects to increase the power of moves when attacking.","Moves with a secondary effect are increased in power by 30% but lose their secondary effect","555","/pokedex-swsh/icon/555-z.png"
"1596680205-4328","https://www.serebii.net/abilitydex/innerfocus.shtml","Inner Focus","The Pokémon's intensely focused, and that protects the Pokémon from flinching.","This Pokémon will not flinch. Does not prevent flinching with Focus Punch. Also prevents stats from being lowered by the ability Intimidate","554","/pokedex-swsh/icon/554.png"
"1596680225-4401","https://www.serebii.net/abilitydex/hypercutter.shtml","Hyper Cutter","The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.","Opponent cannot lower this Pokémon’s Attack value. This Pokémon may still lower its own Attack value using a move of by itself.","341","/pokedex-swsh/icon/341.png"
"1596679865-2677","https://www.serebii.net/abilitydex/waterabsorb.shtml","Water Absorb","Restores HP if hit by a Water-type move, instead of taking damage.","The Pokémon heals up to 1/4 of its maximum Hit Points when hit with Water-type moves.","458","/pokedex-swsh/icon/458.png"
"1596680394-5025","https://www.serebii.net/abilitydex/analytic.shtml","Analytic","Boosts move power when the Pokémon moves last.","Attack power increases by 30% if the Pokémon is the last Pokémon to attack this turn","137","/pokedex-swsh/icon/137.png"
"1596680205-4322","https://www.serebii.net/abilitydex/innerfocus.shtml","Inner Focus","The Pokémon's intensely focused, and that protects the Pokémon from flinching.","This Pokémon will not flinch. Does not prevent flinching with Focus Punch. Also prevents stats from being lowered by the ability Intimidate","107","/pokedex-swsh/icon/107.png"
"1596680370-4957","https://www.serebii.net/abilitydex/berserk.shtml","Berserk","Boosts the Pokémon's Sp. Atk stat when it takes a  hit that causes its HP to become half or less.","null","780","/pokedex-swsh/icon/780.png"
"1596680033-3466","https://www.serebii.net/abilitydex/sandrush.shtml","Sand Rush","Boosts the Pokémon's Speed stat in a sandstorm.","Speed is doubled within a sandstorm","27","/pokedex-swsh/icon/027.png"
"1596680122-3909","https://www.serebii.net/abilitydex/noguard.shtml","No Guard","The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.","The accuracy of all moves known by this Pokémon and all Pokémon targeting this Pokémon raises to 100%","66","/pokedex-swsh/icon/066.png"
"1596680209-4339","https://www.serebii.net/abilitydex/infiltrator.shtml","Infiltrator","Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.","The protections and stat boosts caused by the moves Substitute, Reflect, Light Screen and Safeguard by the opponent are ignored.","715","/pokedex-swsh/icon/715.png"
"1596680061-3650","https://www.serebii.net/abilitydex/quickfeet.shtml","Quick Feet","Boosts the Speed stat if the Pokémon has a status condition.","Speed is increased by 50% when induced with a status (Burn, Poison, Sleep, Frozen & Paralysis). If Paralysed, the speed drop is ignored.","285","/pokedex-sm/icon/285.png"
"1596680340-4803","https://www.serebii.net/abilitydex/cursedbody.shtml","Cursed Body","May disable a move used on the Pokémon.","When a move hits the Pokémon, that move has a 30% chance of getting disabled","885","/pokedex-swsh/icon/885.png"
"1596680025-3416","https://www.serebii.net/abilitydex/sapsipper.shtml","Sap Sipper","Boosts the Attack stat if hit by a Grass-type move, instead of taking damage.","Attack is raised by one stage when the Pokémon is hit by a Grass-type move. User receives no damage from Grass-type attacks.","706","/pokedex-swsh/icon/706.png"
"1596680112-3809","https://www.serebii.net/abilitydex/owntempo.shtml","Own Tempo","This Pokémon has its own tempo, and that prevents it from becoming confused.","The Pokémon cannot be Confused while having this ability. Blocks Intimidate","80","/pokedex-swsh/icon/080.png"
"1596680227-4410","https://www.serebii.net/abilitydex/hydration.shtml","Hydration","Heals status conditions if it's raining.","All status problems: Burn, Paralysis, Sleep, Frozen and Poison, are healed when raining.","490","/pokedex-sm/icon/490.png"
"1596679992-3303","https://www.serebii.net/abilitydex/shellarmor.shtml","Shell Armor","A hard shell protects the Pokémon from critical hits.","Opponent’s moves cannot Critical Hit.","366","/pokedex-sm/icon/366.png"
"1596680338-4779","https://www.serebii.net/abilitydex/cutecharm.shtml","Cute Charm","Contact with the Pokémon may cause infatuation.","The opponent has a 30% chance of being induced with Attract when using an attack, that requires physical contact, against this Pokémon.","39","/pokedex-swsh/icon/039.png"
"1596679921-3015","https://www.serebii.net/abilitydex/swarm.shtml","Swarm","Powers up Bug-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Bug-type moves is increased by 50%.","545","/pokedex-swsh/icon/545.png"
"1596680294-4673","https://www.serebii.net/abilitydex/flamebody.shtml","Flame Body","Contact with the Pokémon may burn the attacker.","The opponent has a 30% chance of being induced with Burn when using an attack, that requires physical contact, against this Pokémon.","851","/pokedex-swsh/icon/851-gi.png"
"1596679865-2675","https://www.serebii.net/abilitydex/waterabsorb.shtml","Water Absorb","Restores HP if hit by a Water-type move, instead of taking damage.","The Pokémon heals up to 1/4 of its maximum Hit Points when hit with Water-type moves.","195","/pokedex-swsh/icon/195.png"
"1596679960-3174","https://www.serebii.net/abilitydex/speedboost.shtml","Speed Boost","Its Speed stat is boosted every turn.","Speed increases by one stage at the end of each turn.","257","/pokedex-sm/icon/257-m.png"
"1596680398-5038","https://www.serebii.net/abilitydex/aftermath.shtml","Aftermath","Damages the attacker if it contacts the Pokémon with a finishing hit.","The foe that dealt the final hit loses 1/4 of its maximum HP if the move made physical contact.","100","/pokedex-sm/icon/100.png"
"1596680398-5042","https://www.serebii.net/abilitydex/aftermath.shtml","Aftermath","Damages the attacker if it contacts the Pokémon with a finishing hit.","The foe that dealt the final hit loses 1/4 of its maximum HP if the move made physical contact.","569","/pokedex-swsh/icon/569-gi.png"
"1596680090-3727","https://www.serebii.net/abilitydex/powerconstruct.shtml","Power Construct","Other Cells gather to aid when its HP becomes half or less. Then the Pokémon changes its form to Complete Forme.","null","718","/pokedex-sm/icon/718-10.png"
"1596680334-4755","https://www.serebii.net/abilitydex/dancer.shtml","Dancer","When another Pokémon uses a dance move, it can use a dance move following it regardless of its Speed.","null","741","/pokedex-sm/icon/741-s.png"
"1596680014-3381","https://www.serebii.net/abilitydex/serenegrace.shtml","Serene Grace","Boosts the likelihood of additional effects occurring  when attacking.","The chances of a move having a secondary effect is doubled.","385","/pokedex-swsh/icon/385.png"
"1596680230-4447","https://www.serebii.net/abilitydex/hustle.shtml","Hustle","Boosts the Attack stat, but lowers accuracy.","Damage from physical attacks is increased by 50%, but average accuracy is only 80%.","32","/pokedex-sm/icon/032.png"
"1596680306-4703","https://www.serebii.net/abilitydex/earlybird.shtml","Early Bird","The Pokémon awakens twice as fast as other Pokémon from sleep.","Sleep conditions lasts for half as long, rounding down. For example, half of three turns is 1.5, which rounds down to one turn. When the number of turns to sleep is one, half of this rounded down is zero, and the Pokémon wakes up instantly.","274","/pokedex-swsh/icon/274.png"
"1596680324-4744","https://www.serebii.net/abilitydex/defiant.shtml","Defiant","Boosts the Pokémon's Attack stat sharply when its stats are lowered.","Attack is raised by two stages when the Pokémon has its stats lowered. Doesn't work on self inflicted stat drops or drops from allies","870","/pokedex-swsh/icon/870.png"
"1596680082-3699","https://www.serebii.net/abilitydex/pressure.shtml","Pressure","By putting pressure on the opposing Pokémon, it raises their PP usage.","When this Pokémon is hit by a move, the opponent’s PP lowers by 2 rather than 1.","321","/pokedex-swsh/icon/321.png"
"1596680160-4017","https://www.serebii.net/abilitydex/magmaarmor.shtml","Magma Armor","The Pokémon is covered with hot magma, which prevents the Pokémon from becoming frozen.","This Pokémon cannot be Frozen while having this ability.","219","/pokedex-sm/icon/219.png"
"1596679905-2876","https://www.serebii.net/abilitydex/telepathy.shtml","Telepathy","Anticipates an ally's attack and dodges it.","Prevents damage from team-mates during Double and Triple battles","487","/pokedex-sm/icon/487.png"
"1596680037-3494","https://www.serebii.net/abilitydex/runaway.shtml","Run Away","Enables a sure getaway from wild Pokémon.","Except for trainer battles, can always run from battle. It still cannot switch during Mean Look or Block or when the opponent is trapping with the Arena Trap, Magnet Pull, or Shadow Tag ability.","84","/pokedex-sm/icon/084.png"
"1596679907-2902","https://www.serebii.net/abilitydex/technician.shtml","Technician","Powers up the Pokémon's weaker moves.","Moves with a base power of 60 or less are boosted in power by 50%","802","/pokedex-swsh/icon/802.png"
"1596679923-3029","https://www.serebii.net/abilitydex/surgesurfer.shtml","Surge Surfer","Doubles the Pokémon's Speed stat on Electric Terrain.","null","26","/pokedex-swsh/icon/026-a.png"
"1596679877-2723","https://www.serebii.net/abilitydex/unnerve.shtml","Unnerve","Unnerves opposing Pokémon and makes them unable to eat Berries.","The opponent Pokémon will never use their held Berry while the Pokémon is in battle.","595","/pokedex-swsh/icon/595.png"
"1596680178-4090","https://www.serebii.net/abilitydex/lightmetal.shtml","Light Metal","Halves the Pokémon's weight.","null","884","/pokedex-swsh/icon/884.png"
"1596680104-3799","https://www.serebii.net/abilitydex/pickpocket.shtml","Pickpocket","Steals an item from an attacker that made direct contact.","When a Pokémon makes physical contact with the Pokémon, the item of the opponent is stolen.","859","/pokedex-swsh/icon/859.png"
"1596679930-3048","https://www.serebii.net/abilitydex/sturdy.shtml","Sturdy","It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.","The Pokémon will remain with 1 HP if it was going to be knocked out by a move when at full Hit Points, and it is immune to One Hit KO moves.","76","/pokedex-sm/icon/076.png"
"1596679931-3086","https://www.serebii.net/abilitydex/strongjaw.shtml","Strong Jaw","The Pokémon's strong jaw boosts the power of its biting moves.","Increases the power of biting moves by 50%","696","/pokedex-sm/icon/696.png"
"1596679980-3266","https://www.serebii.net/abilitydex/skilllink.shtml","Skill Link","Maximizes the number of times multi-strike moves hit.","Moves that attack 2-5 times always hit 5 times.","732","/pokedex-sm/icon/732.png"
"1596679931-3095","https://www.serebii.net/abilitydex/strongjaw.shtml","Strong Jaw","The Pokémon's strong jaw boosts the power of its biting moves.","Increases the power of biting moves by 50%","882","/pokedex-swsh/icon/882.png"
"1596679963-3200","https://www.serebii.net/abilitydex/soul-heart.shtml","Soul-heart","Boosts its Sp. Atk stat every time a Pokémon faints.","null","801","/pokedex-swsh/icon/801.png"
"1596680205-4313","https://www.serebii.net/abilitydex/innerfocus.shtml","Inner Focus","The Pokémon's intensely focused, and that protects the Pokémon from flinching.","This Pokémon will not flinch. Does not prevent flinching with Focus Punch. Also prevents stats from being lowered by the ability Intimidate","539","/pokedex-swsh/icon/539.png"
"1596680233-4455","https://www.serebii.net/abilitydex/hugepower.shtml","Huge Power","Doubles the Pokémon's Attack stat.","The Pokémon's Attack stat is doubled while it has this ability.","184","/pokedex-swsh/icon/184.png"
"1596680195-4231","https://www.serebii.net/abilitydex/ironfist.shtml","Iron Fist","Powers up punching moves.","The power of punching moves is increased by 20%.","739","/pokedex-sm/icon/739.png"
"1596680252-4513","https://www.serebii.net/abilitydex/guts.shtml","Guts","It's so gutsy that having a status condition boosts the Pokémon's Attack stat.","Attack is increased by 50% when induced with a status (BURN, PARALYZE, SLEEP, POISON, FREEZE). Burn’s effect of lowering Attack is not applied.","862","/pokedex-swsh/icon/862.png"
"1596679974-3245","https://www.serebii.net/abilitydex/sniper.shtml","Sniper","Powers up moves if they become critical hits when attacking.","Power of critical-hit moves is increased to 225% rather than 150%.","689","/pokedex-swsh/icon/689.png"
"1596680294-4661","https://www.serebii.net/abilitydex/flamebody.shtml","Flame Body","Contact with the Pokémon may burn the attacker.","The opponent has a 30% chance of being induced with Burn when using an attack, that requires physical contact, against this Pokémon.","637","/pokedex-swsh/icon/637.png"
"1596680302-4680","https://www.serebii.net/abilitydex/electricsurge.shtml","Electric Surge","Turns the ground into Electric Terrain when the Pokémon enters a battle.","Activates Electric Terrain for 5 turns when the Pokémon enters a battle.","871","/pokedex-swsh/icon/871.png"
"1596680117-3877","https://www.serebii.net/abilitydex/overcoat.shtml","Overcoat","Protects the Pokémon from things like sand, hail, and powder.","Protects Pokémon from Weather Effects and Powder moves such as Sleep Powder, Poison Powder etc.","589","/pokedex-swsh/icon/589.png"
"1596680186-4156","https://www.serebii.net/abilitydex/leafguard.shtml","Leaf Guard","Prevents status conditions in sunny weather.","Prevents the Pokémon from being afflicted by status conditions during strong sunlight.","754","/pokedex-swsh/icon/754.png"
"1596679855-2641","https://www.serebii.net/abilitydex/weakarmor.shtml","Weak Armor","Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.","When hit by an attack, the Pokémon's Defense is lowered by one stage but Speed is increased by two stages.","141","/pokedex-sm/icon/141.png"
"1596679962-3185","https://www.serebii.net/abilitydex/soundproof.shtml","Soundproof","Soundproofing of the Pokémon itself gives full  immunity to all sound-based moves.","Unaffected by sound moves. If this Pokémon switches out with Baton Pass, Perish Song against the switched out will not be nullified.","100","/pokedex-sm/icon/100.png"
"1596680082-3683","https://www.serebii.net/abilitydex/pressure.shtml","Pressure","By putting pressure on the opposing Pokémon, it raises their PP usage.","When this Pokémon is hit by a move, the opponent’s PP lowers by 2 rather than 1.","356","/pokedex-swsh/icon/356.png"
"1596680100-3768","https://www.serebii.net/abilitydex/pixilate.shtml","Pixilate","Normal-type moves become Fairy-type moves. The power of those moves is boosted a little.","Increases the power of Normal-type moves by 20%. It then changes those moves to Fairy-type.","334","/pokedex-sm/icon/334-m.png"
"1596679992-3297","https://www.serebii.net/abilitydex/shellarmor.shtml","Shell Armor","A hard shell protects the Pokémon from critical hits.","Opponent’s moves cannot Critical Hit.","131","/pokedex-swsh/icon/131.png"
"1596680227-4424","https://www.serebii.net/abilitydex/hydration.shtml","Hydration","Heals status conditions if it's raining.","All status problems: Burn, Paralysis, Sleep, Frozen and Poison, are healed when raining.","340","/pokedex-swsh/icon/340.png"
"1596679921-3003","https://www.serebii.net/abilitydex/swarm.shtml","Swarm","Powers up Bug-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Bug-type moves is increased by 50%.","167","/pokedex-sm/icon/167.png"
"1596680115-3836","https://www.serebii.net/abilitydex/overgrow.shtml","Overgrow","Powers up Grass-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Grass-type moves is increased by 50%.","152","/pokedex-sm/icon/152.png"
"1596680148-3995","https://www.serebii.net/abilitydex/minus.shtml","Minus","Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.","When battling with Plus or Minus, Special Attack increases by 50%.","309","/pokedex-swsh/icon/309.png"
"1596680189-4215","https://www.serebii.net/abilitydex/keeneye.shtml","Keen Eye","Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.","Opponent cannot lower this Pokémon’s accuracy. The Pokémon ignores evasion boosts of the opponent","451","/pokedex-swsh/icon/451.png"
"1596680037-3493","https://www.serebii.net/abilitydex/runaway.shtml","Run Away","Enables a sure getaway from wild Pokémon.","Except for trainer battles, can always run from battle. It still cannot switch during Mean Look or Block or when the opponent is trapping with the Arena Trap, Magnet Pull, or Shadow Tag ability.","78","/pokedex-swsh/icon/078-g.png"
"1596680324-4739","https://www.serebii.net/abilitydex/defiant.shtml","Defiant","Boosts the Pokémon's Attack stat sharply when its stats are lowered.","Attack is raised by two stages when the Pokémon has its stats lowered. Doesn't work on self inflicted stat drops or drops from allies","628","/pokedex-swsh/icon/628.png"
"1596680245-4469","https://www.serebii.net/abilitydex/heavymetal.shtml","Heavy Metal","Doubles the Pokémon's weight.","null","436","/pokedex-swsh/icon/436.png"
"1596680254-4518","https://www.serebii.net/abilitydex/gulpmissile.shtml","Gulp Missile","When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack.","When using Surf or Dive, it will change into Gulping Form if it has over 50% max HP or Gorging Form if it has less than 50% max HP. If hit afterwards, form reverts and it shoots out its prey to attack, doing 1/4th of opponent's maximum HP in damage. If the Cramorant was in Gulping Form, the opponent's Defense is lowered 1 stage. If the Cramorant was in Gorging Form, the opponent is paralyzed.","845","/pokedex-swsh/icon/845.png"
"1596680306-4698","https://www.serebii.net/abilitydex/earlybird.shtml","Early Bird","The Pokémon awakens twice as fast as other Pokémon from sleep.","Sleep conditions lasts for half as long, rounding down. For example, half of three turns is 1.5, which rounds down to one turn. When the number of turns to sleep is one, half of this rounded down is zero, and the Pokémon wakes up instantly.","178","/pokedex-swsh/icon/178.png"
"1596680182-4113","https://www.serebii.net/abilitydex/levitate.shtml","Levitate","By floating in the air, the Pokémon receives full immunity to all Ground-type moves.","Damage dealing Ground-type moves have no effect on this Pokémon. Cannot be trapped by Arena Trap ability. Takes no damage from Spikes.","344","/pokedex-swsh/icon/344.png"
"1596679853-2624","https://www.serebii.net/abilitydex/whitesmoke.shtml","White Smoke","The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats.","Opponents’ moves which lower this Pokémon’s stats have no effect. However this Pokémon may lower its own stats with its own moves.","324","/pokedex-swsh/icon/324.png"
"1596680252-4514","https://www.serebii.net/abilitydex/guts.shtml","Guts","It's so gutsy that having a status condition boosts the Pokémon's Attack stat.","Attack is increased by 50% when induced with a status (BURN, PARALYZE, SLEEP, POISON, FREEZE). Burn’s effect of lowering Attack is not applied.","136","/pokedex-swsh/icon/136.png"
"1596679899-2826","https://www.serebii.net/abilitydex/tintedlens.shtml","Tinted Lens","The Pokémon can use â€œnot very effectiveâ€ moves to deal regular damage.","The power of “not very effective” moves is doubled.","314","/pokedex-sm/icon/314.png"
"1596680304-4689","https://www.serebii.net/abilitydex/effectspore.shtml","Effect Spore","Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.","The opponent has a 10% chance of being induced by PARALYZE, POISON, or SLEEP when using an attack, that requires physical contact, against this Pokémon.","45","/pokedex-swsh/icon/045.png"
"1596680014-3382","https://www.serebii.net/abilitydex/serenegrace.shtml","Serene Grace","Boosts the likelihood of additional effects occurring  when attacking.","The chances of a move having a secondary effect is doubled.","440","/pokedex-swsh/icon/440.png"
"1596680366-4922","https://www.serebii.net/abilitydex/blaze.shtml","Blaze","Powers up Fire-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Fire-type moves is increased by 50%.","255","/pokedex-sm/icon/255.png"
"1596679962-3192","https://www.serebii.net/abilitydex/soundproof.shtml","Soundproof","Soundproofing of the Pokémon itself gives full  immunity to all sound-based moves.","Unaffected by sound moves. If this Pokémon switches out with Baton Pass, Perish Song against the switched out will not be nullified.","782","/pokedex-swsh/icon/782.png"
"1596680346-4812","https://www.serebii.net/abilitydex/contrary.shtml","Contrary","Makes stat changes have an opposite effect.","Moves used on the Pokémon that raise stats lower the stats, while the moves that lower the stats raise the stat","213","/pokedex-swsh/icon/213.png"
"1596679857-2653","https://www.serebii.net/abilitydex/waterveil.shtml","Water Veil","The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn.","This Pokémon cannot be Burned while having this ability.","119","/pokedex-swsh/icon/119.png"
