web-scraper-order,web-scraper-start-url,PrimaryType,SecondaryType,DexNum,Name,Form,FormPrimaryType,FormSecondaryType
"1596754548-5696","https://www.serebii.net/pokedex-sm/466.shtml","Electric-type","null","466","Electivire","","",""
"1596754538-5691","https://www.serebii.net/pokedex-swsh/glaceon","Ice-type","null","471","Glaceon","","",""
"1596754412-5622","https://www.serebii.net/pokedex-swsh/conkeldurr","Fighting-type","null","534","Conkeldurr","","",""
"1596754712-5780","https://www.serebii.net/pokedex-sm/384.shtml","Dragon-type","Flying-type","384","Rayquaza","","",""
"1596754362-5593","https://www.serebii.net/pokedex-swsh/scraggy","Dark-type","Fighting-type","559","Scraggy","","",""
"1596753901-5356","https://www.serebii.net/pokedex-swsh/cosmog","Psychic-type","null","789","Cosmog","","",""
"1596754610-5727","https://www.serebii.net/pokedex-swsh/skuntank","Poison-type","Dark-type","435","Skuntank","","",""
"1596753773-5290","https://www.serebii.net/pokedex-swsh/grapploct","Fighting-type","null","853","Grapploct","","",""
"1596754416-5624","https://www.serebii.net/pokedex-swsh/timburr","Fighting-type","null","532","Timburr","","",""
"1596754890-5871","https://www.serebii.net/pokedex-sm/296.shtml","Fighting-type","null","296","Makuhita","","",""
"1596753915-5363","https://www.serebii.net/pokedex-swsh/jangmo-o","Dragon-type","null","782","Jangmo-o","","",""
"1596754958-5907","https://www.serebii.net/pokedex-sm/262.shtml","Dark-type","null","262","Mightyena","","",""
"1596753971-5391","https://www.serebii.net/pokedex-swsh/lurantis","Grass-type","null","754","Lurantis","","",""
"1596754516-5675","https://www.serebii.net/pokedex-sm/482.shtml","Psychic-type","null","482","Azelf","","",""
"1596755426-6162","https://www.serebii.net/pokedex-sm/029.shtml","Poison-type","null","29","Nidoran♀","","",""
"1596754925-5889","https://www.serebii.net/pokedex-swsh/wingull","Water-type","Flying-type","278","Wingull","","",""
"1596754868-5860","https://www.serebii.net/pokedex-sm/307.shtml","Fighting-type","Psychic-type","307","Meditite","","",""
"1596754552-5698","https://www.serebii.net/pokedex-swsh/rhyperior","Ground-type","Rock-type","464","Rhyperior","","",""
"1596754822-5838","https://www.serebii.net/pokedex-swsh/vibrava","Ground-type","Dragon-type","329","Vibrava","","",""
"1596754211-5516","https://www.serebii.net/pokedex-swsh/zweilous","Dark-type","Dragon-type","634","Zweilous","","",""
"1596754658-5753","https://www.serebii.net/pokedex-sm/411.shtml","Rock-type","Steel-type","411","Bastiodon","","",""
"1596754508-5671","https://www.serebii.net/pokedex-sm/486.shtml","Normal-type","null","486","Regigigas","","",""
"1596754788-5821","https://www.serebii.net/pokedex-sm/346.shtml","Rock-type","Grass-type","346","Cradily","","",""
"1596754486-5659","https://www.serebii.net/pokedex-sm/497.shtml","Grass-type","null","497","Serperior","","",""
"1596753945-5378","https://www.serebii.net/pokedex-swsh/wimpod","Bug-type","Water-type","767","Wimpod","","",""
"1596755336-6110","https://www.serebii.net/pokedex-sm/074.shtml","Rock-type","Ground-type","74","Geodude","Alolan","Rock-type","Electric-type"
"1596753903-5357","https://www.serebii.net/pokedex-sm/788.shtml","Water-type","Fairy-type","788","Tapu Fini","","",""
"1596753716-5262","https://www.serebii.net/pokedex-swsh/arctozolt","Electric-type","Ice-type","881","Arctozolt","","",""
"1596754506-5670","https://www.serebii.net/pokedex-sm/487.shtml","Ghost-type","Dragon-type","487","Giratina","","",""
"1596754202-5511","https://www.serebii.net/pokedex-swsh/terrakion","Rock-type","Fighting-type","639","Terrakion","","",""
"1596755144-6001","https://www.serebii.net/pokedex-sm/169.shtml","Poison-type","Flying-type","169","Crobat","","",""
"1596755138-5998","https://www.serebii.net/pokedex-swsh/pichu","Electric-type","null","172","Pichu","","",""
"1596754290-5556","https://www.serebii.net/pokedex-swsh/joltik","Bug-type","Electric-type","595","Joltik","","",""
"1596753889-5350","https://www.serebii.net/pokedex-sm/795.shtml","Bug-type","Fighting-type","795","Pheromosa","","",""
"1596755308-6088","https://www.serebii.net/pokedex-sm/088.shtml","Poison-type","Dark-type","88","Grimer","Alolan","Poison-type","Dark-type"
"1596754143-5481","https://www.serebii.net/pokedex-sm/668.shtml","Fire-type","Normal-type","668","Pyroar","","",""
"1596754656-5752","https://www.serebii.net/pokedex-sm/412.shtml","Bug-type","null","412","Burmy","","",""
"1596754288-5555","https://www.serebii.net/pokedex-swsh/galvantula","Bug-type","Electric-type","596","Galvantula","","",""
"1596754271-5547","https://www.serebii.net/pokedex-sm/604.shtml","Electric-type","null","604","Eelektross","","",""
"1596753891-5351","https://www.serebii.net/pokedex-sm/794.shtml","Bug-type","Fighting-type","794","Buzzwole","","",""
"1596755484-6195","https://www.serebii.net/pokedex-swsh/bulbasaur","Grass-type","Poison-type","1","Bulbasaur","","",""
"1596753865-5336","https://www.serebii.net/pokedex-swsh/zeraora","Electric-type","null","807","Zeraora","","",""
"1596754440-5636","https://www.serebii.net/pokedex-swsh/tranquill","Normal-type","Flying-type","520","Tranquill","","",""
"1596753921-5366","https://www.serebii.net/pokedex-sm/779.shtml","Water-type","Psychic-type","779","Bruxish","","",""
"1596755185-6021","https://www.serebii.net/pokedex-sm/149.shtml","Dragon-type","Flying-type","149","Dragonite","","",""
"1596755370-6127","https://www.serebii.net/pokedex-sm/057.shtml","Fighting-type","null","57","Primeape","","",""
"1596754462-5647","https://www.serebii.net/pokedex-swsh/purrloin","Dark-type","null","509","Purrloin","","",""
"1596754480-5656","https://www.serebii.net/pokedex-sm/500.shtml","Fire-type","Fighting-type","500","Emboar","","",""
"1596754372-5602","https://www.serebii.net/pokedex-swsh/darumaka","Fire-type","null","554","Darumaka","Galarian","Ice-type","null"
"1596753997-5407","https://www.serebii.net/pokedex-sm/741.shtml","Fire-type","Flying-type","741","Oricorio","Sensu Style","Ghost-type","Flying-type"
"1596753871-5339","https://www.serebii.net/pokedex-sm/804.shtml","Poison-type","Dragon-type","804","Naganadel","","",""
"1596753710-5259","https://www.serebii.net/pokedex-swsh/duraludon","Steel-type","Dragon-type","884","Duraludon","","",""
"1596755116-5987","https://www.serebii.net/pokedex-swsh/marill","Water-type","Fairy-type","183","Marill","","",""
"1596755036-5946","https://www.serebii.net/pokedex-swsh/remoraid","Water-type","null","223","Remoraid","","",""
"1596754073-5446","https://www.serebii.net/pokedex-sm/703.shtml","Rock-type","Fairy-type","703","Carbink","","",""
"1596754336-5579","https://www.serebii.net/pokedex-swsh/minccino","Normal-type","null","572","Minccino","","",""
"1596754139-5479","https://www.serebii.net/pokedex-sm/670.shtml","Fairy-type","null","670","Floette","","",""
"1596754812-5833","https://www.serebii.net/pokedex-sm/334.shtml","Dragon-type","Flying-type","334","Altaria","","",""
"1596754808-5831","https://www.serebii.net/pokedex-sm/336.shtml","Poison-type","null","336","Seviper","","",""
"1596754522-5683","https://www.serebii.net/pokedex-swsh/rotom","Electric-type","Ghost-type","479","Rotom","Wash Rotom","Electric-type","Water-type"
"1596753744-5276","https://www.serebii.net/pokedex-swsh/runerigus","Ground-type","Ghost-type","867","Runerigus","","",""
"1596753740-5274","https://www.serebii.net/pokedex-swsh/alcremie","Fairy-type","null","869","Alcremie","","",""
"1596755346-6115","https://www.serebii.net/pokedex-sm/069.shtml","Grass-type","Poison-type","69","Bellsprout","","",""
"1596754284-5553","https://www.serebii.net/pokedex-swsh/ferrothorn","Grass-type","Steel-type","598","Ferrothorn","","",""
"1596754522-5682","https://www.serebii.net/pokedex-swsh/rotom","Electric-type","Ghost-type","479","Rotom","Fan Rotom","Electric-type","Flying-type"
"1596753997-5405","https://www.serebii.net/pokedex-sm/741.shtml","Fire-type","Flying-type","741","Oricorio","Pom-Pom Style","Electric-type","Flying-type"
"1596754067-5443","https://www.serebii.net/pokedex-swsh/goodra","Dragon-type","null","706","Goodra","","",""
"1596753941-5376","https://www.serebii.net/pokedex-swsh/sandygast","Ghost-type","Ground-type","769","Sandygast","","",""
"1596754682-5765","https://www.serebii.net/pokedex-sm/399.shtml","Normal-type","null","399","Bidoof","","",""
"1596753875-5341","https://www.serebii.net/pokedex-swsh/marshadow","Fighting-type","Ghost-type","802","Marshadow","","",""
"1596754180-5499","https://www.serebii.net/pokedex-sm/650.shtml","Grass-type","null","650","Chespin","","",""
"1596754654-5751","https://www.serebii.net/pokedex-sm/413.shtml","Bug-type","Grass-type","413","Wormadam","Trash Cloak","Bug-type","Steel-type"
"1596755046-5952","https://www.serebii.net/pokedex-sm/218.shtml","Fire-type","null","218","Slugma","","",""
"1596753997-5404","https://www.serebii.net/pokedex-sm/741.shtml","Fire-type","Flying-type","741","Oricorio","Baile Style","Fire-type","Flying-type"
"1596755058-5958","https://www.serebii.net/pokedex-swsh/scizor","Bug-type","Steel-type","212","Scizor","","",""
"1596754145-5482","https://www.serebii.net/pokedex-sm/667.shtml","Fire-type","Normal-type","667","Litleo","","",""
"1596755329-6104","https://www.serebii.net/pokedex-swsh/ponyta","Fire-type","null","77","Ponyta","Galarian","Psychic-type","null"
"1596755038-5948","https://www.serebii.net/pokedex-swsh/corsola","Water-type","Rock-type","222","Corsola","Galarian","Ghost-type","null"
"1596754554-5699","https://www.serebii.net/pokedex-swsh/lickilicky","Normal-type","null","463","Lickilicky","","",""
"1596755289-6077","https://www.serebii.net/pokedex-sm/097.shtml","Psychic-type","null","97","Hypno","","",""
"1596755353-6119","https://www.serebii.net/pokedex-swsh/alakazam","Psychic-type","null","65","Alakazam","","",""
"1596755172-6015","https://www.serebii.net/pokedex-sm/155.shtml","Fire-type","null","155","Cyndaquil","","",""
"1596754109-5464","https://www.serebii.net/pokedex-swsh/slurpuff","Fairy-type","null","685","Slurpuff","","",""
"1596754380-5606","https://www.serebii.net/pokedex-swsh/basculin","Water-type","null","550","Basculin","","",""
"1596755365-6125","https://www.serebii.net/pokedex-swsh/arcanine","Fire-type","null","59","Arcanine","","",""
"1596754634-5739","https://www.serebii.net/pokedex-swsh/gastrodon","Water-type","Ground-type","423","Gastrodon","","",""
"1596754992-5924","https://www.serebii.net/pokedex-sm/245.shtml","Water-type","null","245","Suicune","","",""
"1596755332-6105","https://www.serebii.net/pokedex-sm/076.shtml","Rock-type","Ground-type","76","Golem","Normal","Rock-type","Ground-type"
"1596755293-6079","https://www.serebii.net/pokedex-swsh/onix","Rock-type","Ground-type","95","Onix","","",""
"1596754864-5858","https://www.serebii.net/pokedex-swsh/electrike","Electric-type","null","309","Electrike","","",""
"1596754426-5629","https://www.serebii.net/pokedex-swsh/woobat","Psychic-type","Flying-type","527","Woobat","","",""
"1596755178-6018","https://www.serebii.net/pokedex-sm/152.shtml","Grass-type","null","152","Chikorita","","",""
"1596754830-5842","https://www.serebii.net/pokedex-sm/325.shtml","Psychic-type","null","325","Spoink","","",""
"1596754170-5494","https://www.serebii.net/pokedex-sm/655.shtml","Fire-type","Psychic-type","655","Delphox","","",""
"1596753879-5344","https://www.serebii.net/pokedex-swsh/necrozma","Psychic-type","Steel-type","800","Necrozma","Dusk Mane","Psychic-type","Steel-type"
"1596754358-5591","https://www.serebii.net/pokedex-swsh/sigilyph","Psychic-type","Flying-type","561","Sigilyph","","",""
"1596753803-5305","https://www.serebii.net/pokedex-swsh/carkol","Rock-type","Fire-type","838","Carkol","","",""
"1596755476-6191","https://www.serebii.net/pokedex-swsh/charmeleon","Fire-type","null","5","Charmeleon","","",""
"1596754536-5690","https://www.serebii.net/pokedex-sm/472.shtml","Ground-type","Flying-type","472","Gliscor","","",""
"1596754278-5550","https://www.serebii.net/pokedex-swsh/klinklang","Steel-type","null","601","Klinklang","","",""
"1596754668-5758","https://www.serebii.net/pokedex-swsh/budew","Grass-type","Poison-type","406","Budew","","",""
"1596755277-6071","https://www.serebii.net/pokedex-swsh/exeggutor","Grass-type","Psychic-type","103","Exeggutor","Alolan","Grass-type","Dragon-type"
"1596754927-5890","https://www.serebii.net/pokedex-sm/277.shtml","Normal-type","Flying-type","277","Swellow","","",""
"1596754984-5920","https://www.serebii.net/pokedex-sm/249.shtml","Psychic-type","Flying-type","249","Lugia","","",""
"1596755306-6085","https://www.serebii.net/pokedex-sm/089.shtml","Poison-type","Dark-type","89","Muk","Normal","Poison-type","null"
"1596753939-5375","https://www.serebii.net/pokedex-swsh/palossand","Ghost-type","Ground-type","770","Palossand","","",""
"1596754410-5621","https://www.serebii.net/pokedex-swsh/tympole","Water-type","null","535","Tympole","","",""
"1596753823-5315","https://www.serebii.net/pokedex-swsh/thievul","Dark-type","null","828","Thievul","","",""
"1596755337-6111","https://www.serebii.net/pokedex-swsh/tentacruel","Water-type","Poison-type","73","Tentacruel","","",""
"1596754418-5625","https://www.serebii.net/pokedex-sm/531.shtml","Normal-type","null","531","Audino","","",""
"1596755132-5995","https://www.serebii.net/pokedex-swsh/togepi","Fairy-type","null","175","Togepi","","",""
"1596753746-5277","https://www.serebii.net/pokedex-swsh/mr.rime","Ice-type","Psychic-type","866","Mr. Rime","","",""
"1596755269-6065","https://www.serebii.net/pokedex-swsh/hitmonchan","Fighting-type","null","107","Hitmonchan","","",""
"1596753931-5371","https://www.serebii.net/pokedex-sm/774.shtml","Rock-type","Flying-type","774","Minior","","",""
"1596753775-5291","https://www.serebii.net/pokedex-swsh/clobbopus","Fighting-type","null","852","Clobbopus","","",""
"1596755022-5939","https://www.serebii.net/pokedex-swsh/kingdra","Water-type","Dragon-type","230","Kingdra","","",""
"1596755323-6097","https://www.serebii.net/pokedex-swsh/slowbro","Water-type","Psychic-type","80","Slowbro","Normal","Water-type","Psychic-type"
"1596754103-5461","https://www.serebii.net/pokedex-swsh/binacle","Rock-type","Water-type","688","Binacle","","",""
"1596753859-5333","https://www.serebii.net/pokedex-swsh/grookey","Grass-type","null","810","Grookey","","",""
"1596754558-5701","https://www.serebii.net/pokedex-swsh/weavile","Dark-type","Ice-type","461","Weavile","","",""
"1596753855-5331","https://www.serebii.net/pokedex-swsh/rillaboom","Grass-type","null","812","Rillaboom","","",""
"1596754001-5409","https://www.serebii.net/pokedex-sm/739.shtml","Fighting-type","null","739","Crabrawler","","",""
"1596754774-5811","https://www.serebii.net/pokedex-sm/353.shtml","Ghost-type","null","353","Shuppet","","",""
"1596753913-5362","https://www.serebii.net/pokedex-swsh/hakamo-o","Dragon-type","Fighting-type","783","Hakamo-o","","",""
"1596754424-5628","https://www.serebii.net/pokedex-swsh/swoobat","Psychic-type","Flying-type","528","Swoobat","","",""
"1596754011-5414","https://www.serebii.net/pokedex-sm/734.shtml","Normal-type","null","734","Yungoos","","",""
"1596754448-5640","https://www.serebii.net/pokedex-sm/516.shtml","Water-type","null","516","Simipour","","",""
"1596754522-5680","https://www.serebii.net/pokedex-swsh/rotom","Electric-type","Ghost-type","479","Rotom","Heat Rotom","Electric-type","Fire-type"
"1596754275-5549","https://www.serebii.net/pokedex-sm/602.shtml","Electric-type","null","602","Tynamo","","",""
"1596754494-5663","https://www.serebii.net/pokedex-sm/493.shtml","Normal-type","null","493","Arceus","","",""
"1596753708-5258","https://www.serebii.net/pokedex-swsh/dreepy","Dragon-type","Ghost-type","885","Dreepy","","",""
"1596754913-5883","https://www.serebii.net/pokedex-sm/284.shtml","Bug-type","Flying-type","284","Masquerain","","",""
"1596755192-6025","https://www.serebii.net/pokedex-sm/145.shtml","Electric-type","Flying-type","145","Zapdos","","",""
"1596754874-5863","https://www.serebii.net/pokedex-sm/304.shtml","Steel-type","Rock-type","304","Aron","","",""
"1596753777-5292","https://www.serebii.net/pokedex-swsh/centiskorch","Fire-type","Bug-type","851","Centiskorch","","",""
"1596754438-5635","https://www.serebii.net/pokedex-swsh/unfezant","Normal-type","Flying-type","521","Unfezant","","",""
"1596755226-6042","https://www.serebii.net/pokedex-swsh/tauros","Normal-type","null","128","Tauros","","",""
"1596754105-5462","https://www.serebii.net/pokedex-swsh/malamar","Dark-type","Psychic-type","687","Malamar","","",""
"1596755112-5985","https://www.serebii.net/pokedex-swsh/sudowoodo","Rock-type","null","185","Sudowoodo","","",""
"1596755447-6177","https://www.serebii.net/pokedex-sm/019.shtml","Normal-type","Normal-type","19","Rattata","Alolan","Dark-type","Normal-type"
"1596755413-6156","https://www.serebii.net/pokedex-swsh/clefairy","Fairy-type","null","35","Clefairy","","",""
"1596754947-5900","https://www.serebii.net/pokedex-sm/267.shtml","Bug-type","Flying-type","267","Beautifly","","",""
"1596753881-5346","https://www.serebii.net/pokedex-sm/799.shtml","Dark-type","Dragon-type","799","Guzzlord","","",""
"1596755066-5962","https://www.serebii.net/pokedex-swsh/steelix","Steel-type","Ground-type","208","Steelix","","",""
"1596755124-5991","https://www.serebii.net/pokedex-sm/179.shtml","Electric-type","null","179","Mareep","","",""
"1596754061-5440","https://www.serebii.net/pokedex-swsh/trevenant","Ghost-type","Grass-type","709","Trevenant","","",""
"1596755434-6169","https://www.serebii.net/pokedex-swsh/pikachu","Electric-type","null","25","Pikachu","","",""
"1596753714-5261","https://www.serebii.net/pokedex-swsh/dracovish","Water-type","Dragon-type","882","Dracovish","","",""
"1596754452-5642","https://www.serebii.net/pokedex-sm/514.shtml","Fire-type","null","514","Simisear","","",""
"1596754291-5557","https://www.serebii.net/pokedex-sm/594.shtml","Water-type","null","594","Alomomola","","",""
"1596754117-5468","https://www.serebii.net/pokedex-swsh/aegislash","Steel-type","Ghost-type","681","Aegislash","","",""
"1596754624-5734","https://www.serebii.net/pokedex-swsh/lopunny","Normal-type","null","428","Lopunny","","",""
"1596753692-5247","https://www.serebii.net/pokedex-swsh/zarude","Dark-type","Grass-type","893","Zarude","","",""
"1596754596-5720","https://www.serebii.net/pokedex-sm/442.shtml","Ghost-type","Dark-type","442","Spiritomb","","",""
"1596754181-5500","https://www.serebii.net/pokedex-sm/649.shtml","Bug-type","Steel-type","649","Genesect","","",""
"1596755008-5932","https://www.serebii.net/pokedex-swsh/hitmontop","Fighting-type","null","237","Hitmontop","","",""
"1596755222-6040","https://www.serebii.net/pokedex-swsh/gyarados","Water-type","Flying-type","130","Gyarados","","",""
"1596754892-5872","https://www.serebii.net/pokedex-swsh/exploud","Normal-type","null","295","Exploud","","",""
"1596753720-5264","https://www.serebii.net/pokedex-swsh/copperajah","Steel-type","null","879","Copperajah","","",""
"1596754345-5584","https://www.serebii.net/pokedex-sm/567.shtml","Rock-type","Flying-type","567","Archeops","","",""
"1596754317-5570","https://www.serebii.net/pokedex-sm/581.shtml","Water-type","Flying-type","581","Swanna","","",""
"1596754845-5849","https://www.serebii.net/pokedex-swsh/carvanha","Water-type","Dark-type","318","Carvanha","","",""
"1596754824-5839","https://www.serebii.net/pokedex-swsh/trapinch","Ground-type","null","328","Trapinch","","",""
"1596754029-5423","https://www.serebii.net/pokedex-swsh/litten","Fire-type","null","725","Litten","","",""
"1596755410-6154","https://www.serebii.net/pokedex-swsh/vulpix","Fire-type","null","37","Vulpix","Alolan","Ice-type","null"
"1596754133-5476","https://www.serebii.net/pokedex-sm/673.shtml","Grass-type","null","673","Gogoat","","",""
"1596755416-6157","https://www.serebii.net/pokedex-sm/034.shtml","Poison-type","Ground-type","34","Nidoking","","",""
"1596755349-6117","https://www.serebii.net/pokedex-swsh/machoke","Fighting-type","null","67","Machoke","","",""
"1596754684-5766","https://www.serebii.net/pokedex-sm/398.shtml","Normal-type","Flying-type","398","Staraptor","","",""
"1596754055-5437","https://www.serebii.net/pokedex-swsh/bergmite","Ice-type","null","712","Bergmite","","",""
"1596754079-5449","https://www.serebii.net/pokedex-swsh/sylveon","Fairy-type","null","700","Sylveon","","",""
"1596755146-6002","https://www.serebii.net/pokedex-sm/168.shtml","Bug-type","Poison-type","168","Ariados","","",""
"1596755010-5933","https://www.serebii.net/pokedex-swsh/tyrogue","Fighting-type","null","236","Tyrogue","","",""
"1596754839-5846","https://www.serebii.net/pokedex-swsh/wailord","Water-type","null","321","Wailord","","",""
"1596754652-5748","https://www.serebii.net/pokedex-sm/414.shtml","Bug-type","Flying-type","414","Mothim","","",""
"1596755176-6017","https://www.serebii.net/pokedex-sm/153.shtml","Grass-type","null","153","Bayleef","","",""
"1596754304-5563","https://www.serebii.net/pokedex-swsh/karrablast","Bug-type","null","588","Karrablast","","",""
"1596755231-6044","https://www.serebii.net/pokedex-sm/126.shtml","Fire-type","null","126","Magmar","","",""
"1596755233-6045","https://www.serebii.net/pokedex-sm/125.shtml","Electric-type","null","125","Electabuzz","","",""
"1596754843-5848","https://www.serebii.net/pokedex-swsh/sharpedo","Water-type","Dark-type","319","Sharpedo","","",""
"1596754386-5609","https://www.serebii.net/pokedex-swsh/whimsicott","Grass-type","Fairy-type","547","Whimsicott","","",""
"1596755052-5955","https://www.serebii.net/pokedex-swsh/sneasel","Dark-type","Ice-type","215","Sneasel","","",""
"1596754632-5738","https://www.serebii.net/pokedex-sm/424.shtml","Normal-type","null","424","Ambipom","","",""
"1596754378-5605","https://www.serebii.net/pokedex-swsh/sandile","Ground-type","Dark-type","551","Sandile","","",""
"1596753947-5379","https://www.serebii.net/pokedex-swsh/passimian","Fighting-type","null","766","Passimian","","",""
"1596753893-5352","https://www.serebii.net/pokedex-sm/793.shtml","Rock-type","Poison-type","793","Nihilego","","",""
"1596754482-5657","https://www.serebii.net/pokedex-sm/499.shtml","Fire-type","Fighting-type","499","Pignite","","",""
"1596754188-5504","https://www.serebii.net/pokedex-swsh/kyurem","Dragon-type","Ice-type","646","Kyurem","","",""
"1596755130-5994","https://www.serebii.net/pokedex-swsh/togetic","Fairy-type","Flying-type","176","Togetic","","",""
"1596754444-5638","https://www.serebii.net/pokedex-swsh/musharna","Psychic-type","null","518","Musharna","","",""
"1596754262-5542","https://www.serebii.net/pokedex-swsh/chandelure","Ghost-type","Fire-type","609","Chandelure","","",""
"1596754782-5818","https://www.serebii.net/pokedex-swsh/feebas","Water-type","null","349","Feebas","","",""
"1596754259-5541","https://www.serebii.net/pokedex-swsh/axew","Dragon-type","null","610","Axew","","",""
"1596754710-5779","https://www.serebii.net/pokedex-swsh/jirachi","Steel-type","Psychic-type","385","Jirachi","","",""
"1596753849-5328","https://www.serebii.net/pokedex-swsh/cinderace","Fire-type","null","815","Cinderace","","",""
"1596753694-5248","https://www.serebii.net/pokedex-swsh/urshifu","Fighting-type","Fighting-type","892","Urshifu","Single Strike Style","Fighting-type","Fighting-type"
"1596754778-5813","https://www.serebii.net/pokedex-sm/351.shtml","Normal-type","null","351","Castform","Normal","Normal-type","null"
"1596753885-5348","https://www.serebii.net/pokedex-sm/797.shtml","Steel-type","Flying-type","797","Celesteela","","",""
"1596755275-6069","https://www.serebii.net/pokedex-swsh/cubone","Ground-type","null","104","Cubone","","",""
"1596754183-5502","https://www.serebii.net/pokedex-sm/648.shtml","Normal-type","Psychic-type","648","Meloetta","Pirouette Forme","Normal-type","Fighting-type"
"1596755094-5976","https://www.serebii.net/pokedex-swsh/wooper","Water-type","Ground-type","194","Wooper","","",""
"1596754898-5875","https://www.serebii.net/pokedex-swsh/shedinja","Bug-type","Ghost-type","292","Shedinja","","",""
"1596755080-5969","https://www.serebii.net/pokedex-sm/201.shtml","Psychic-type","null","201","Unown","","",""
"1596754696-5772","https://www.serebii.net/pokedex-sm/392.shtml","Fire-type","Fighting-type","392","Infernape","","",""
"1596753726-5267","https://www.serebii.net/pokedex-swsh/indeedee","Psychic-type","Normal-type","876","Indeedee","","",""
"1596755336-6109","https://www.serebii.net/pokedex-sm/074.shtml","Rock-type","Ground-type","74","Geodude","Normal","Rock-type","Ground-type"
"1596754314-5568","https://www.serebii.net/pokedex-swsh/vanillish","Ice-type","null","583","Vanillish","","",""
"1596754878-5865","https://www.serebii.net/pokedex-swsh/sableye","Dark-type","Ghost-type","302","Sableye","","",""
"1596755395-6145","https://www.serebii.net/pokedex-swsh/gloom","Grass-type","Poison-type","44","Gloom","","",""
"1596754886-5869","https://www.serebii.net/pokedex-swsh/azurill","Normal-type","Fairy-type","298","Azurill","","",""
"1596755018-5937","https://www.serebii.net/pokedex-sm/232.shtml","Ground-type","null","232","Donphan","","",""
"1596753799-5303","https://www.serebii.net/pokedex-swsh/applin","Grass-type","Dragon-type","840","Applin","","",""
"1596755210-6034","https://www.serebii.net/pokedex-swsh/flareon","Fire-type","null","136","Flareon","","",""
"1596754859-5856","https://www.serebii.net/pokedex-sm/311.shtml","Electric-type","null","311","Plusle","","",""
"1596754726-5787","https://www.serebii.net/pokedex-sm/377.shtml","Rock-type","null","377","Regirock","","",""
"1596755092-5975","https://www.serebii.net/pokedex-swsh/quagsire","Water-type","Ground-type","195","Quagsire","","",""
"1596754239-5530","https://www.serebii.net/pokedex-swsh/mienshao","Fighting-type","null","620","Mienshao","","",""
"1596753756-5282","https://www.serebii.net/pokedex-swsh/grimmsnarl","Dark-type","Fairy-type","861","Grimmsnarl","","",""
"1596754764-5806","https://www.serebii.net/pokedex-sm/358.shtml","Psychic-type","null","358","Chimecho","","",""
"1596755372-6128","https://www.serebii.net/pokedex-sm/056.shtml","Fighting-type","null","56","Mankey","","",""
"1596754302-5562","https://www.serebii.net/pokedex-swsh/escavalier","Bug-type","Steel-type","589","Escavalier","","",""
"1596754328-5575","https://www.serebii.net/pokedex-swsh/gothitelle","Psychic-type","null","576","Gothitelle","","",""
"1596753863-5335","https://www.serebii.net/pokedex-swsh/meltan","Steel-type","null","808","Meltan","","",""
"1596754642-5743","https://www.serebii.net/pokedex-sm/419.shtml","Water-type","null","419","Floatzel","","",""
"1596754131-5475","https://www.serebii.net/pokedex-swsh/pancham","Fighting-type","null","674","Pancham","","",""
"1596755347-6116","https://www.serebii.net/pokedex-swsh/machamp","Fighting-type","null","68","Machamp","","",""
"1596754978-5917","https://www.serebii.net/pokedex-sm/252.shtml","Grass-type","null","252","Treecko","","",""
"1596754522-5681","https://www.serebii.net/pokedex-swsh/rotom","Electric-type","Ghost-type","479","Rotom","Mow Rotom","Electric-type","Grass-type"
"1596754470-5651","https://www.serebii.net/pokedex-sm/505.shtml","Normal-type","null","505","Watchog","","",""
"1596755375-6130","https://www.serebii.net/pokedex-swsh/psyduck","Water-type","null","54","Psyduck","","",""
"1596755422-6160","https://www.serebii.net/pokedex-sm/031.shtml","Poison-type","Ground-type","31","Nidoqueen","","",""
"1596754964-5910","https://www.serebii.net/pokedex-sm/259.shtml","Water-type","Ground-type","259","Marshtomp","","",""
"1596754069-5444","https://www.serebii.net/pokedex-swsh/sliggoo","Dragon-type","null","705","Sliggoo","","",""
"1596755238-6049","https://www.serebii.net/pokedex-swsh/mr.mime","Psychic-type","Fairy-type","122","Mr. Mime","Galarian","Ice-type","Psychic-type"
"1596754746-5797","https://www.serebii.net/pokedex-sm/367.shtml","Water-type","null","367","Huntail","","",""
"1596754326-5574","https://www.serebii.net/pokedex-swsh/solosis","Psychic-type","null","577","Solosis","","",""
"1596754905-5879","https://www.serebii.net/pokedex-sm/288.shtml","Normal-type","null","288","Vigoroth","","",""
"1596754205-5513","https://www.serebii.net/pokedex-swsh/volcarona","Bug-type","Fire-type","637","Volcarona","","",""
"1596753758-5283","https://www.serebii.net/pokedex-swsh/morgrem","Dark-type","Fairy-type","860","Morgrem","","",""
"1596753951-5381","https://www.serebii.net/pokedex-swsh/comfey","Fairy-type","null","764","Comfey","","",""
"1596754518-5676","https://www.serebii.net/pokedex-sm/481.shtml","Psychic-type","null","481","Mesprit","","",""
"1596754035-5426","https://www.serebii.net/pokedex-swsh/rowlet","Grass-type","Flying-type","722","Rowlet","","",""
"1596754586-5715","https://www.serebii.net/pokedex-swsh/riolu","Fighting-type","null","447","Riolu","","",""
"1596755250-6055","https://www.serebii.net/pokedex-swsh/horsea","Water-type","null","116","Horsea","","",""
"1596754962-5909","https://www.serebii.net/pokedex-sm/260.shtml","Water-type","Ground-type","260","Swampert","","",""
"1596753887-5349","https://www.serebii.net/pokedex-sm/796.shtml","Electric-type","null","796","Xurkitree","","",""
